"Notes"	"Residence 2013 Urbanization"	"Residence 2013 Urbanization Code"	"Residence Census Division"	"Residence Census Division Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Mar., 2020"	"2020/03"	38	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Apr., 2020"	"2020/04"	1537	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"May, 2020"	"2020/05"	1025	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Jun., 2020"	"2020/06"	218	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Jul., 2020"	"2020/07"	51	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Aug., 2020"	"2020/08"	43	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Sep., 2020"	"2020/09"	46	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Oct., 2020"	"2020/10"	126	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Nov., 2020"	"2020/11"	278	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	"Dec., 2020"	"2020/12"	650	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Jan., 2021"	"2021/01"	584	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Feb., 2021"	"2021/02"	253	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Mar., 2021"	"2021/03"	121	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Apr., 2021"	"2021/04"	94	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"May, 2021"	"2021/05"	54	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Jun., 2021"	"2021/06"	27	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Jul., 2021"	"2021/07"	11	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Aug., 2021"	"2021/08"	68	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Sep., 2021"	"2021/09"	107	Not Applicable	Not Applicable
