"Notes"	"Residence Census Division"	"Residence Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Mar., 2020"	"2020/03"	113	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2020"	"2020/04"	4125	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2020"	"2020/05"	3030	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2020"	"2020/06"	635	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2020"	"2020/07"	153	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2020"	"2020/08"	84	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2020"	"2020/09"	100	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2020"	"2020/10"	284	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2020"	"2020/11"	628	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2020"	"2020/12"	1591	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2021 (provisional)"	"2021/01"	1788	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2021 (provisional)"	"2021/02"	794	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2021 (provisional)"	"2021/03"	371	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2021 (provisional)"	"2021/04"	272	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2021 (provisional)"	"2021/05"	179	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2021 (provisional)"	"2021/06"	77	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2021 (provisional)"	"2021/07"	41	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2021 (provisional)"	"2021/08"	174	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2021 (provisional)"	"2021/09"	312	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2021 (provisional)"	"2021/10"	303	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2021 (provisional)"	"2021/11"	391	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2021 (provisional)"	"2021/12"	905	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2022 (provisional)"	"2022/01"	1567	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2022 (provisional)"	"2022/02"	552	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"			18469	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2020"	"2020/03"	3378	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2020"	"2020/04"	30925	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2020"	"2020/05"	8823	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2020"	"2020/06"	1699	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2020"	"2020/07"	651	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2020"	"2020/08"	485	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2020"	"2020/09"	408	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2020"	"2020/10"	694	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2020"	"2020/11"	2385	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2020"	"2020/12"	7110	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2021 (provisional)"	"2021/01"	7885	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2021 (provisional)"	"2021/02"	4989	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2021 (provisional)"	"2021/03"	3477	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2021 (provisional)"	"2021/04"	3035	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2021 (provisional)"	"2021/05"	1556	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2021 (provisional)"	"2021/06"	471	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2021 (provisional)"	"2021/07"	279	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2021 (provisional)"	"2021/08"	1040	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2021 (provisional)"	"2021/09"	1650	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2021 (provisional)"	"2021/10"	1751	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2021 (provisional)"	"2021/11"	1610	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2021 (provisional)"	"2021/12"	3273	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2022 (provisional)"	"2022/01"	8054	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2022 (provisional)"	"2022/02"	2443	Not Applicable	Not Applicable
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"			98071	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Mar., 2020"	"2020/03"	766	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Apr., 2020"	"2020/04"	6528	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"May, 2020"	"2020/05"	4539	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jun., 2020"	"2020/06"	1729	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jul., 2020"	"2020/07"	933	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Aug., 2020"	"2020/08"	891	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Sep., 2020"	"2020/09"	787	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Oct., 2020"	"2020/10"	1375	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Nov., 2020"	"2020/11"	4748	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Dec., 2020"	"2020/12"	7473	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jan., 2021 (provisional)"	"2021/01"	4938	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Feb., 2021 (provisional)"	"2021/02"	1989	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Mar., 2021 (provisional)"	"2021/03"	1081	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Apr., 2021 (provisional)"	"2021/04"	1817	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"May, 2021 (provisional)"	"2021/05"	1562	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jun., 2021 (provisional)"	"2021/06"	544	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jul., 2021 (provisional)"	"2021/07"	312	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Aug., 2021 (provisional)"	"2021/08"	1232	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Sep., 2021 (provisional)"	"2021/09"	2372	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Oct., 2021 (provisional)"	"2021/10"	2489	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Nov., 2021 (provisional)"	"2021/11"	2681	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Dec., 2021 (provisional)"	"2021/12"	5377	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Jan., 2022 (provisional)"	"2022/01"	7233	Not Applicable	Not Applicable
	"Division 3: East North Central"	"CENS-D3"	"Feb., 2022 (provisional)"	"2022/02"	2400	Not Applicable	Not Applicable
"Total"	"Division 3: East North Central"	"CENS-D3"			65796	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Mar., 2020"	"2020/03"	42	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Apr., 2020"	"2020/04"	808	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"May, 2020"	"2020/05"	944	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jun., 2020"	"2020/06"	411	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jul., 2020"	"2020/07"	273	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Aug., 2020"	"2020/08"	410	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Sep., 2020"	"2020/09"	360	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Oct., 2020"	"2020/10"	650	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Nov., 2020"	"2020/11"	1467	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Dec., 2020"	"2020/12"	1982	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jan., 2021 (provisional)"	"2021/01"	1330	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Feb., 2021 (provisional)"	"2021/02"	481	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Mar., 2021 (provisional)"	"2021/03"	262	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Apr., 2021 (provisional)"	"2021/04"	288	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"May, 2021 (provisional)"	"2021/05"	233	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jun., 2021 (provisional)"	"2021/06"	140	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jul., 2021 (provisional)"	"2021/07"	220	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Aug., 2021 (provisional)"	"2021/08"	648	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Sep., 2021 (provisional)"	"2021/09"	728	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Oct., 2021 (provisional)"	"2021/10"	576	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Nov., 2021 (provisional)"	"2021/11"	684	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Dec., 2021 (provisional)"	"2021/12"	1233	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Jan., 2022 (provisional)"	"2022/01"	1705	Not Applicable	Not Applicable
	"Division 4: West North Central"	"CENS-D4"	"Feb., 2022 (provisional)"	"2022/02"	717	Not Applicable	Not Applicable
"Total"	"Division 4: West North Central"	"CENS-D4"			16592	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Mar., 2020"	"2020/03"	389	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Apr., 2020"	"2020/04"	3544	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"May, 2020"	"2020/05"	3492	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jun., 2020"	"2020/06"	1867	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jul., 2020"	"2020/07"	4363	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Aug., 2020"	"2020/08"	3982	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Sep., 2020"	"2020/09"	1877	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Oct., 2020"	"2020/10"	1553	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Nov., 2020"	"2020/11"	2267	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Dec., 2020"	"2020/12"	5062	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jan., 2021 (provisional)"	"2021/01"	7591	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Feb., 2021 (provisional)"	"2021/02"	4326	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Mar., 2021 (provisional)"	"2021/03"	2238	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Apr., 2021 (provisional)"	"2021/04"	1922	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"May, 2021 (provisional)"	"2021/05"	1512	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jun., 2021 (provisional)"	"2021/06"	724	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Jul., 2021 (provisional)"	"2021/07"	1411	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Aug., 2021 (provisional)"	"2021/08"	7230	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Sep., 2021 (provisional)"	"2021/09"	7137	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Oct., 2021 (provisional)"	"2021/10"	3169	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Nov., 2021 (provisional)"	"2021/11"	1348	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Dec., 2021 (provisional)"	"2021/12"	2013	Not Applicable	Not Applicable
