"Notes"	"Residence Census Division"	"Residence Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Mar., 2020"	"2020/03"	140	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2020"	"2020/04"	2223	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2020"	"2020/05"	1757	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2020"	"2020/06"	345	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2020"	"2020/07"	112	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2020"	"2020/08"	67	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2020"	"2020/09"	50	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2020"	"2020/10"	124	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2020"	"2020/11"	457	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2020"	"2020/12"	1302	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2021 (provisional)"	"2021/01"	1321	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2021 (provisional)"	"2021/02"	526	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2021 (provisional)"	"2021/03"	270	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2021 (provisional)"	"2021/04"	206	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2021 (provisional)"	"2021/05"	175	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2021 (provisional)"	"2021/06"	42	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2021 (provisional)"	"2021/07"	42	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2021 (provisional)"	"2021/08"	150	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2021 (provisional)"	"2021/09"	296	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2021 (provisional)"	"2021/10"	288	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2021 (provisional)"	"2021/11"	316	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2021 (provisional)"	"2021/12"	618	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2022 (provisional)"	"2022/01"	1119	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2022 (provisional)"	"2022/02"	446	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"			12392	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2020"	"2020/03"	76	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2020"	"2020/04"	1631	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2020"	"2020/05"	1627	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2020"	"2020/06"	530	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2020"	"2020/07"	311	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2020"	"2020/08"	231	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2020"	"2020/09"	144	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2020"	"2020/10"	323	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2020"	"2020/11"	1246	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2020"	"2020/12"	3336	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2021 (provisional)"	"2021/01"	3287	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2021 (provisional)"	"2021/02"	1317	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2021 (provisional)"	"2021/03"	514	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2021 (provisional)"	"2021/04"	570	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2021 (provisional)"	"2021/05"	373	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2021 (provisional)"	"2021/06"	131	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2021 (provisional)"	"2021/07"	82	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2021 (provisional)"	"2021/08"	349	Not Applicable	Not Applicable
