"Notes"	"Residence Census Division"	"Residence Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"Mar., 2020"	"2020/03"	17	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2020"	"2020/04"	172	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2020"	"2020/05"	95	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2020"	"2020/06"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2020"	"2020/07"	11	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2020"	"2020/08"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2020"	"2020/09"	11	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2020"	"2020/10"	13	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2020"	"2020/11"	106	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2020"	"2020/12"	271	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2021 (provisional)"	"2021/01"	228	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2021 (provisional)"	"2021/02"	92	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Mar., 2021 (provisional)"	"2021/03"	42	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Apr., 2021 (provisional)"	"2021/04"	59	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"May, 2021 (provisional)"	"2021/05"	38	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jun., 2021 (provisional)"	"2021/06"	23	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jul., 2021 (provisional)"	"2021/07"	Suppressed	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Aug., 2021 (provisional)"	"2021/08"	55	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Sep., 2021 (provisional)"	"2021/09"	133	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Oct., 2021 (provisional)"	"2021/10"	161	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Nov., 2021 (provisional)"	"2021/11"	215	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Dec., 2021 (provisional)"	"2021/12"	359	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Jan., 2022 (provisional)"	"2022/01"	292	Not Applicable	Not Applicable
	"Division 1: New England"	"CENS-D1"	"Feb., 2022 (provisional)"	"2022/02"	172	Not Applicable	Not Applicable
"Total"	"Division 1: New England"	"CENS-D1"			2586	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2020"	"2020/03"	14	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2020"	"2020/04"	176	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2020"	"2020/05"	141	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2020"	"2020/06"	58	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2020"	"2020/07"	36	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2020"	"2020/08"	65	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2020"	"2020/09"	77	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2020"	"2020/10"	215	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2020"	"2020/11"	616	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Dec., 2020"	"2020/12"	1428	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jan., 2021 (provisional)"	"2021/01"	1253	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Feb., 2021 (provisional)"	"2021/02"	358	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Mar., 2021 (provisional)"	"2021/03"	183	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Apr., 2021 (provisional)"	"2021/04"	197	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"May, 2021 (provisional)"	"2021/05"	136	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jun., 2021 (provisional)"	"2021/06"	90	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Jul., 2021 (provisional)"	"2021/07"	35	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Aug., 2021 (provisional)"	"2021/08"	137	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Sep., 2021 (provisional)"	"2021/09"	431	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Oct., 2021 (provisional)"	"2021/10"	678	Not Applicable	Not Applicable
	"Division 2: Middle Atlantic"	"CENS-D2"	"Nov., 2021 (provisional)"	"2021/11"	802	Not Applicable	Not Applicable
