"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	22	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	27	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	18	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	11	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	24	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	136	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	82	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	27	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	29	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	32	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	11	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	14	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	19	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	10	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	13	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	14	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	13	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	10	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	50	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	81	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	38	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	10	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	"Dec., 2021 (provisional)"	"2021/12"	10	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	31	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	31	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	13	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	17	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	10	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	14	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	11	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	16	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	24	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	10	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	11	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	18	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	18	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	14	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	26	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	27	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	18	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	12	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	27	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	22	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	16	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	17	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	12	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	33	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	20	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	13	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	10	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	12	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	12	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	26	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	56	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	10	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2021 (provisional)"	"2021"	"Nov., 2021 (provisional)"	"2021/11"	10	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	21	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	20	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	30	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	21	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	14	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	13	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	17	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	20	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	27	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	38	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	13	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2021 (provisional)"	"2021"	"Dec., 2021 (provisional)"	"2021/12"	11	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	15	Not Applicable	Not Applicable
