"Notes"	"Month"	"Month Code"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Mar., 2020"	"2020/03"	"Maricopa County, AZ"	"04013"	23	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Pima County, AZ"	"04019"	14	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Alameda County, CA"	"06001"	10	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Los Angeles County, CA"	"06037"	95	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Orange County, CA"	"06059"	12	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Riverside County, CA"	"06065"	16	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"San Diego County, CA"	"06073"	15	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"San Francisco County, CA"	"06075"	10	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"San Mateo County, CA"	"06081"	14	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Santa Clara County, CA"	"06085"	34	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Denver County, CO"	"08031"	16	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"El Paso County, CO"	"08041"	17	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Weld County, CO"	"08123"	15	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Fairfield County, CT"	"09001"	61	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Hartford County, CT"	"09003"	17	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"New Haven County, CT"	"09009"	24	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"District of Columbia, DC"	"11001"	12	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Broward County, FL"	"12011"	29	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Miami-Dade County, FL"	"12086"	40	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Palm Beach County, FL"	"12099"	38	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Clayton County, GA"	"13063"	10	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Cobb County, GA"	"13067"	17	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"DeKalb County, GA"	"13089"	13	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Dougherty County, GA"	"13095"	29	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Fulton County, GA"	"13121"	31	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Cook County, IL"	"17031"	140	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"DuPage County, IL"	"17043"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Lake County, IL"	"17097"	10	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Will County, IL"	"17197"	10	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Lake County, IN"	"18089"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Marion County, IN"	"18097"	53	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Jefferson County, KY"	"21111"	13	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"East Baton Rouge Parish, LA"	"22033"	13	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Jefferson Parish, LA"	"22051"	83	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Orleans Parish, LA"	"22071"	157	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"St. John the Baptist Parish, LA"	"22095"	19	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"St. Tammany Parish, LA"	"22103"	14	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Prince George's County, MD"	"24033"	18	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Essex County, MA"	"25009"	19	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Hampden County, MA"	"25013"	16	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Middlesex County, MA"	"25017"	27	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Norfolk County, MA"	"25021"	13	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Suffolk County, MA"	"25025"	16	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Macomb County, MI"	"26099"	61	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Oakland County, MI"	"26125"	104	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Washtenaw County, MI"	"26161"	11	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Wayne County, MI"	"26163"	257	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Hennepin County, MN"	"27053"	10	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Clark County, NV"	"32003"	30	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Bergen County, NJ"	"34003"	160	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Essex County, NJ"	"34013"	104	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Hudson County, NJ"	"34017"	57	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Middlesex County, NJ"	"34023"	68	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Monmouth County, NJ"	"34025"	38	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Morris County, NJ"	"34027"	34	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Ocean County, NJ"	"34029"	44	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Passaic County, NJ"	"34031"	61	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Somerset County, NJ"	"34035"	14	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Union County, NJ"	"34039"	51	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Bronx County, NY"	"36005"	419	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Erie County, NY"	"36029"	13	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Kings County, NY"	"36047"	607	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Nassau County, NY"	"36059"	221	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"New York County, NY"	"36061"	276	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Orange County, NY"	"36071"	23	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Queens County, NY"	"36081"	660	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Richmond County, NY"	"36085"	95	Not Applicable	Not Applicable
	"Mar., 2020"	"2020/03"	"Rockland County, NY"	"36087"	63	Not Applicable	Not Applicable
