"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	12	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	33	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	21	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	34	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	10	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	Suppressed	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	11	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	10	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	Suppressed	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	Suppressed	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	21	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	Suppressed	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	20	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	13	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	11	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	14	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	19	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	Suppressed	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	29	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	Suppressed	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	Suppressed	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	Suppressed	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	Suppressed	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	Suppressed	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	Suppressed	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	20	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	14	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	68	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	Suppressed	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	24	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	Suppressed	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	16	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	12	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	Suppressed	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	Suppressed	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	41	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	Suppressed	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	Suppressed	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	12	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	70	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	Suppressed	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	46	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	19	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	Suppressed	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	Suppressed	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	Suppressed	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	Suppressed	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	18	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	19	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	29	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	Suppressed	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	11	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	15	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	38	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	23	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	Suppressed	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	Suppressed	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	12	Not Applicable	Not Applicable
	"Aleutians East Borough, AK"	"02013"	Suppressed	Not Applicable	Not Applicable
	"Aleutians West Census Area, AK"	"02016"	Suppressed	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	37	Not Applicable	Not Applicable
	"Bethel Census Area, AK"	"02050"	Suppressed	Not Applicable	Not Applicable
	"Bristol Bay Borough, AK"	"02060"	0	Not Applicable	Not Applicable
	"Denali Borough, AK"	"02068"	Suppressed	Not Applicable	Not Applicable
	"Dillingham Census Area, AK"	"02070"	0	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	13	Not Applicable	Not Applicable
	"Haines Borough, AK"	"02100"	0	Not Applicable	Not Applicable
	"Hoonah-Angoon Census Area, AK"	"02105"	0	Not Applicable	Not Applicable
	"Juneau Borough, AK"	"02110"	Suppressed	Not Applicable	Not Applicable
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	Not Applicable	Not Applicable
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	Not Applicable	Not Applicable
	"Kodiak Island Borough, AK"	"02150"	0	Not Applicable	Not Applicable
	"Lake and Peninsula Borough, AK"	"02164"	0	Not Applicable	Not Applicable
	"Matanuska-Susitna Borough, AK"	"02170"	13	Not Applicable	Not Applicable
	"Nome Census Area, AK"	"02180"	0	Not Applicable	Not Applicable
	"North Slope Borough, AK"	"02185"	0	Not Applicable	Not Applicable
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	Not Applicable	Not Applicable
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	Not Applicable	Not Applicable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	Not Applicable	Not Applicable
	"Sitka Borough, AK"	"02220"	Suppressed	Not Applicable	Not Applicable
	"Skagway Municipality, AK"	"02230"	0	Not Applicable	Not Applicable
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	Not Applicable	Not Applicable
	"Valdez-Cordova Census Area, AK"	"02261"	0	Not Applicable	Not Applicable
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	Not Applicable	Not Applicable
	"Wrangell City and Borough, AK"	"02275"	0	Not Applicable	Not Applicable
	"Yakutat Borough, AK"	"02282"	0	Not Applicable	Not Applicable
	"Yukon-Koyukuk Census Area, AK"	"02290"	0	Not Applicable	Not Applicable
	"Apache County, AZ"	"04001"	16	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	24	Not Applicable	Not Applicable
	"Coconino County, AZ"	"04005"	16	Not Applicable	Not Applicable
	"Gila County, AZ"	"04007"	10	Not Applicable	Not Applicable
	"Graham County, AZ"	"04009"	Suppressed	Not Applicable	Not Applicable
	"Greenlee County, AZ"	"04011"	Suppressed	Not Applicable	Not Applicable
	"La Paz County, AZ"	"04012"	Suppressed	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	493	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	63	Not Applicable	Not Applicable
	"Navajo County, AZ"	"04017"	23	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	144	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	63	Not Applicable	Not Applicable
	"Santa Cruz County, AZ"	"04023"	Suppressed	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	48	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	34	Not Applicable	Not Applicable
	"Arkansas County, AR"	"05001"	Suppressed	Not Applicable	Not Applicable
	"Ashley County, AR"	"05003"	Suppressed	Not Applicable	Not Applicable
	"Baxter County, AR"	"05005"	Suppressed	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	42	Not Applicable	Not Applicable
	"Boone County, AR"	"05009"	Suppressed	Not Applicable	Not Applicable
	"Bradley County, AR"	"05011"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AR"	"05013"	Suppressed	Not Applicable	Not Applicable
	"Carroll County, AR"	"05015"	Suppressed	Not Applicable	Not Applicable
	"Chicot County, AR"	"05017"	0	Not Applicable	Not Applicable
	"Clark County, AR"	"05019"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AR"	"05021"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AR"	"05023"	Suppressed	Not Applicable	Not Applicable
	"Cleveland County, AR"	"05025"	Suppressed	Not Applicable	Not Applicable
	"Columbia County, AR"	"05027"	Suppressed	Not Applicable	Not Applicable
	"Conway County, AR"	"05029"	Suppressed	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	14	Not Applicable	Not Applicable
	"Crawford County, AR"	"05033"	15	Not Applicable	Not Applicable
	"Crittenden County, AR"	"05035"	Suppressed	Not Applicable	Not Applicable
	"Cross County, AR"	"05037"	Suppressed	Not Applicable	Not Applicable
	"Dallas County, AR"	"05039"	Suppressed	Not Applicable	Not Applicable
	"Desha County, AR"	"05041"	0	Not Applicable	Not Applicable
	"Drew County, AR"	"05043"	Suppressed	Not Applicable	Not Applicable
	"Faulkner County, AR"	"05045"	14	Not Applicable	Not Applicable
	"Franklin County, AR"	"05047"	Suppressed	Not Applicable	Not Applicable
	"Fulton County, AR"	"05049"	Suppressed	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	20	Not Applicable	Not Applicable
	"Grant County, AR"	"05053"	Suppressed	Not Applicable	Not Applicable
	"Greene County, AR"	"05055"	Suppressed	Not Applicable	Not Applicable
	"Hempstead County, AR"	"05057"	Suppressed	Not Applicable	Not Applicable
	"Hot Spring County, AR"	"05059"	12	Not Applicable	Not Applicable
	"Howard County, AR"	"05061"	Suppressed	Not Applicable	Not Applicable
	"Independence County, AR"	"05063"	10	Not Applicable	Not Applicable
	"Izard County, AR"	"05065"	Suppressed	Not Applicable	Not Applicable
	"Jackson County, AR"	"05067"	Suppressed	Not Applicable	Not Applicable
	"Jefferson County, AR"	"05069"	11	Not Applicable	Not Applicable
	"Johnson County, AR"	"05071"	Suppressed	Not Applicable	Not Applicable
	"Lafayette County, AR"	"05073"	Suppressed	Not Applicable	Not Applicable
	"Lawrence County, AR"	"05075"	Suppressed	Not Applicable	Not Applicable
	"Lee County, AR"	"05077"	Suppressed	Not Applicable	Not Applicable
	"Lincoln County, AR"	"05079"	0	Not Applicable	Not Applicable
	"Little River County, AR"	"05081"	Suppressed	Not Applicable	Not Applicable
	"Logan County, AR"	"05083"	Suppressed	Not Applicable	Not Applicable
	"Lonoke County, AR"	"05085"	Suppressed	Not Applicable	Not Applicable
	"Madison County, AR"	"05087"	Suppressed	Not Applicable	Not Applicable
	"Marion County, AR"	"05089"	Suppressed	Not Applicable	Not Applicable
	"Miller County, AR"	"05091"	Suppressed	Not Applicable	Not Applicable
	"Mississippi County, AR"	"05093"	Suppressed	Not Applicable	Not Applicable
	"Monroe County, AR"	"05095"	Suppressed	Not Applicable	Not Applicable
	"Montgomery County, AR"	"05097"	Suppressed	Not Applicable	Not Applicable
	"Nevada County, AR"	"05099"	Suppressed	Not Applicable	Not Applicable
	"Newton County, AR"	"05101"	Suppressed	Not Applicable	Not Applicable
	"Ouachita County, AR"	"05103"	12	Not Applicable	Not Applicable
	"Perry County, AR"	"05105"	Suppressed	Not Applicable	Not Applicable
	"Phillips County, AR"	"05107"	0	Not Applicable	Not Applicable
	"Pike County, AR"	"05109"	Suppressed	Not Applicable	Not Applicable
	"Poinsett County, AR"	"05111"	Suppressed	Not Applicable	Not Applicable
	"Polk County, AR"	"05113"	Suppressed	Not Applicable	Not Applicable
	"Pope County, AR"	"05115"	Suppressed	Not Applicable	Not Applicable
	"Prairie County, AR"	"05117"	Suppressed	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	44	Not Applicable	Not Applicable
	"Randolph County, AR"	"05121"	Suppressed	Not Applicable	Not Applicable
	"St. Francis County, AR"	"05123"	Suppressed	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	15	Not Applicable	Not Applicable
	"Scott County, AR"	"05127"	Suppressed	Not Applicable	Not Applicable
	"Searcy County, AR"	"05129"	Suppressed	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	20	Not Applicable	Not Applicable
	"Sevier County, AR"	"05133"	Suppressed	Not Applicable	Not Applicable
	"Sharp County, AR"	"05135"	0	Not Applicable	Not Applicable
	"Stone County, AR"	"05137"	Suppressed	Not Applicable	Not Applicable
	"Union County, AR"	"05139"	Suppressed	Not Applicable	Not Applicable
	"Van Buren County, AR"	"05141"	Suppressed	Not Applicable	Not Applicable
	"Washington County, AR"	"05143"	27	Not Applicable	Not Applicable
	"White County, AR"	"05145"	Suppressed	Not Applicable	Not Applicable
	"Woodruff County, AR"	"05147"	0	Not Applicable	Not Applicable
	"Yell County, AR"	"05149"	Suppressed	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	143	Not Applicable	Not Applicable
	"Alpine County, CA"	"06003"	0	Not Applicable	Not Applicable
	"Amador County, CA"	"06005"	Suppressed	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	33	Not Applicable	Not Applicable
	"Calaveras County, CA"	"06009"	15	Not Applicable	Not Applicable
	"Colusa County, CA"	"06011"	Suppressed	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	149	Not Applicable	Not Applicable
	"Del Norte County, CA"	"06015"	Suppressed	Not Applicable	Not Applicable
	"El Dorado County, CA"	"06017"	29	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	116	Not Applicable	Not Applicable
	"Glenn County, CA"	"06021"	Suppressed	Not Applicable	Not Applicable
	"Humboldt County, CA"	"06023"	25	Not Applicable	Not Applicable
	"Imperial County, CA"	"06025"	29	Not Applicable	Not Applicable
	"Inyo County, CA"	"06027"	Suppressed	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	94	Not Applicable	Not Applicable
	"Kings County, CA"	"06031"	16	Not Applicable	Not Applicable
	"Lake County, CA"	"06033"	Suppressed	Not Applicable	Not Applicable
	"Lassen County, CA"	"06035"	Suppressed	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	1119	Not Applicable	Not Applicable
	"Madera County, CA"	"06039"	15	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	20	Not Applicable	Not Applicable
	"Mariposa County, CA"	"06043"	Suppressed	Not Applicable	Not Applicable
	"Mendocino County, CA"	"06045"	16	Not Applicable	Not Applicable
	"Merced County, CA"	"06047"	43	Not Applicable	Not Applicable
	"Modoc County, CA"	"06049"	Suppressed	Not Applicable	Not Applicable
	"Mono County, CA"	"06051"	Suppressed	Not Applicable	Not Applicable
	"Monterey County, CA"	"06053"	39	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	10	Not Applicable	Not Applicable
	"Nevada County, CA"	"06057"	12	Not Applicable	Not Applicable
	"Orange County, CA"	"06059"	293	Not Applicable	Not Applicable
	"Placer County, CA"	"06061"	53	Not Applicable	Not Applicable
	"Plumas County, CA"	"06063"	Suppressed	Not Applicable	Not Applicable
	"Riverside County, CA"	"06065"	286	Not Applicable	Not Applicable
	"Sacramento County, CA"	"06067"	219	Not Applicable	Not Applicable
	"San Benito County, CA"	"06069"	Suppressed	Not Applicable	Not Applicable
	"San Bernardino County, CA"	"06071"	256	Not Applicable	Not Applicable
	"San Diego County, CA"	"06073"	333	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	102	Not Applicable	Not Applicable
	"San Joaquin County, CA"	"06077"	100	Not Applicable	Not Applicable
	"San Luis Obispo County, CA"	"06079"	38	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	64	Not Applicable	Not Applicable
	"Santa Barbara County, CA"	"06083"	46	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	241	Not Applicable	Not Applicable
	"Santa Cruz County, CA"	"06087"	30	Not Applicable	Not Applicable
	"Shasta County, CA"	"06089"	45	Not Applicable	Not Applicable
	"Sierra County, CA"	"06091"	0	Not Applicable	Not Applicable
	"Siskiyou County, CA"	"06093"	16	Not Applicable	Not Applicable
