"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	23	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	76	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	23	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	22	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	27	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	17	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	42	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	60	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	52	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	22	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	17	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	21	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	15	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	25	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	24	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	13	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	57	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	25	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	18	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	57	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	50	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	36	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	52	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	36	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	93	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	27	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	13	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	16	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	26	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	12	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	80	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	18	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	313	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	33	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	16	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	83	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	30	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	28	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	21	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	73	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	21	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	30	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	51	Not Applicable	Not Applicable
