"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2020"	"2020"	55	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2021"	"2021"	107	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2022 (provisional)"	"2022"	57	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	165	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021"	"2021"	435	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2022 (provisional)"	"2022"	94	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"2020"	"2020"	38	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"2021"	"2021"	52	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"2022 (provisional)"	"2022"	18	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"2020"	"2020"	40	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"2021"	"2021"	46	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2020"	"2020"	92	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021"	"2021"	98	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2022 (provisional)"	"2022"	48	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"2020"	"2020"	20	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"2021"	"2021"	13	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2020"	"2020"	52	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2021"	"2021"	47	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2022 (provisional)"	"2022"	18	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2020"	"2020"	175	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021"	"2021"	301	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2022 (provisional)"	"2022"	96	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"2020"	"2020"	73	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"2021"	"2021"	78	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"2022 (provisional)"	"2022"	23	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2020"	"2020"	34	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2021"	"2021"	66	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2022 (provisional)"	"2022"	33	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2020"	"2020"	76	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2021"	"2021"	107	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2022 (provisional)"	"2022"	39	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"2020"	"2020"	31	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"2021"	"2021"	23	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"2020"	"2020"	43	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"2021"	"2021"	53	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"2022 (provisional)"	"2022"	16	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"2020"	"2020"	40	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"2021"	"2021"	24	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"2022 (provisional)"	"2022"	17	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"2020"	"2020"	25	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"2021"	"2021"	41	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2020"	"2020"	70	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2021"	"2021"	128	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2022 (provisional)"	"2022"	41	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2020"	"2020"	83	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2021"	"2021"	117	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2022 (provisional)"	"2022"	43	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"2020"	"2020"	27	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"2021"	"2021"	35	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"2020"	"2020"	19	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"2021"	"2021"	21	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"2022 (provisional)"	"2022"	13	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2020"	"2020"	90	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2021"	"2021"	126	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2022 (provisional)"	"2022"	43	Not Applicable	Not Applicable
