"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2020"	"2020"	"Dec., 2020"	"2020/12"	15	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	34	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	13	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	12	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	22	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	27	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	18	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	"Jul., 2020"	"2020/07"	21	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	"Aug., 2020"	"2020/08"	39	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	"Sep., 2020"	"2020/09"	14	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	"Oct., 2020"	"2020/10"	17	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	"Nov., 2020"	"2020/11"	15	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2020"	"2020"	"Dec., 2020"	"2020/12"	43	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Jan., 2021 (provisional)"	"2021/01"	79	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Feb., 2021 (provisional)"	"2021/02"	46	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Jun., 2021 (provisional)"	"2021/06"	11	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Jul., 2021 (provisional)"	"2021/07"	24	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Aug., 2021 (provisional)"	"2021/08"	136	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Sep., 2021 (provisional)"	"2021/09"	82	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	"Oct., 2021 (provisional)"	"2021/10"	27	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2022 (provisional and partial)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	29	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2022 (provisional and partial)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	31	Not Applicable	Not Applicable
