"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2021 (provisional)"	"2021"	21	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"2021 (provisional)"	"2021"	17	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2021 (provisional)"	"2021"	123	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"2021 (provisional)"	"2021"	44	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"2021 (provisional)"	"2021"	80	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"2021 (provisional)"	"2021"	70	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"2021 (provisional)"	"2021"	17	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"2021 (provisional)"	"2021"	22	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Fairbanks North Star Borough, AK"	"02090"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Matanuska-Susitna Borough, AK"	"02170"	"2021 (provisional)"	"2021"	27	Not Applicable	Not Applicable
	"Apache County, AZ"	"04001"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
	"Cochise County, AZ"	"04003"	"2021 (provisional)"	"2021"	20	Not Applicable	Not Applicable
	"Coconino County, AZ"	"04005"	"2021 (provisional)"	"2021"	14	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"2021 (provisional)"	"2021"	521	Not Applicable	Not Applicable
	"Mohave County, AZ"	"04015"	"2021 (provisional)"	"2021"	81	Not Applicable	Not Applicable
	"Navajo County, AZ"	"04017"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Pima County, AZ"	"04019"	"2021 (provisional)"	"2021"	124	Not Applicable	Not Applicable
	"Pinal County, AZ"	"04021"	"2021 (provisional)"	"2021"	64	Not Applicable	Not Applicable
	"Yavapai County, AZ"	"04025"	"2021 (provisional)"	"2021"	35	Not Applicable	Not Applicable
	"Yuma County, AZ"	"04027"	"2021 (provisional)"	"2021"	36	Not Applicable	Not Applicable
	"Benton County, AR"	"05007"	"2021 (provisional)"	"2021"	33	Not Applicable	Not Applicable
	"Craighead County, AR"	"05031"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Garland County, AR"	"05051"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Hot Spring County, AR"	"05059"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Jefferson County, AR"	"05069"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Lonoke County, AR"	"05085"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"Pulaski County, AR"	"05119"	"2021 (provisional)"	"2021"	67	Not Applicable	Not Applicable
	"Saline County, AR"	"05125"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Sebastian County, AR"	"05131"	"2021 (provisional)"	"2021"	12	Not Applicable	Not Applicable
	"Union County, AR"	"05139"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Washington County, AR"	"05143"	"2021 (provisional)"	"2021"	15	Not Applicable	Not Applicable
	"White County, AR"	"05145"	"2021 (provisional)"	"2021"	11	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2021 (provisional)"	"2021"	96	Not Applicable	Not Applicable
	"Butte County, CA"	"06007"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"2021 (provisional)"	"2021"	76	Not Applicable	Not Applicable
	"El Dorado County, CA"	"06017"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Fresno County, CA"	"06019"	"2021 (provisional)"	"2021"	119	Not Applicable	Not Applicable
	"Humboldt County, CA"	"06023"	"2021 (provisional)"	"2021"	16	Not Applicable	Not Applicable
	"Imperial County, CA"	"06025"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Kern County, CA"	"06029"	"2021 (provisional)"	"2021"	120	Not Applicable	Not Applicable
	"Kings County, CA"	"06031"	"2021 (provisional)"	"2021"	13	Not Applicable	Not Applicable
	"Los Angeles County, CA"	"06037"	"2021 (provisional)"	"2021"	1102	Not Applicable	Not Applicable
	"Madera County, CA"	"06039"	"2021 (provisional)"	"2021"	26	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"2021 (provisional)"	"2021"	10	Not Applicable	Not Applicable
	"Merced County, CA"	"06047"	"2021 (provisional)"	"2021"	64	Not Applicable	Not Applicable
	"Monterey County, CA"	"06053"	"2021 (provisional)"	"2021"	24	Not Applicable	Not Applicable
	"Orange County, CA"	"06059"	"2021 (provisional)"	"2021"	266	Not Applicable	Not Applicable
	"Placer County, CA"	"06061"	"2021 (provisional)"	"2021"	18	Not Applicable	Not Applicable
