"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Jan., 2020 "	"2020/01"	40	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Feb., 2020 "	"2020/02"	46	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Mar., 2020 "	"2020/03"	44	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Apr., 2020 "	"2020/04"	57	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"May, 2020 "	"2020/05"	54	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Jun., 2020 "	"2020/06"	68	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jan., 2020 "	"2020/01"	216	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Feb., 2020 "	"2020/02"	198	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Mar., 2020 "	"2020/03"	233	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Apr., 2020 "	"2020/04"	180	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"May, 2020 "	"2020/05"	198	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jun., 2020 "	"2020/06"	202	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Jan., 2020 "	"2020/01"	23	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Feb., 2020 "	"2020/02"	31	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Mar., 2020 "	"2020/03"	25	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Apr., 2020 "	"2020/04"	30	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"May, 2020 "	"2020/05"	40	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Jun., 2020 "	"2020/06"	24	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Jan., 2020 "	"2020/01"	17	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Feb., 2020 "	"2020/02"	28	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Mar., 2020 "	"2020/03"	21	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Apr., 2020 "	"2020/04"	21	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"May, 2020 "	"2020/05"	20	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Jun., 2020 "	"2020/06"	14	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Jan., 2020 "	"2020/01"	49	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Feb., 2020 "	"2020/02"	69	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Mar., 2020 "	"2020/03"	51	Not Applicable	Not Applicable
