"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Jul., 2020 "	"2020/07"	59	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Aug., 2020 "	"2020/08"	54	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Sep., 2020 "	"2020/09"	50	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Oct., 2020 "	"2020/10"	61	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Nov., 2020 "	"2020/11"	56	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Dec., 2020 "	"2020/12"	62	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jul., 2020 "	"2020/07"	226	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Aug., 2020 "	"2020/08"	279	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Sep., 2020 "	"2020/09"	218	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Oct., 2020 "	"2020/10"	245	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Nov., 2020 "	"2020/11"	217	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Dec., 2020 "	"2020/12"	279	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Jul., 2020 "	"2020/07"	41	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Aug., 2020 "	"2020/08"	32	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Sep., 2020 "	"2020/09"	26	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Oct., 2020 "	"2020/10"	33	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Nov., 2020 "	"2020/11"	44	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Dec., 2020 "	"2020/12"	29	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Jul., 2020 "	"2020/07"	24	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Aug., 2020 "	"2020/08"	35	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Sep., 2020 "	"2020/09"	29	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Oct., 2020 "	"2020/10"	20	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Nov., 2020 "	"2020/11"	32	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Dec., 2020 "	"2020/12"	36	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Jul., 2020 "	"2020/07"	74	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Aug., 2020 "	"2020/08"	88	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Sep., 2020 "	"2020/09"	60	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Oct., 2020 "	"2020/10"	66	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Nov., 2020 "	"2020/11"	71	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Dec., 2020 "	"2020/12"	118	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Jul., 2020 "	"2020/07"	14	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Aug., 2020 "	"2020/08"	12	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Sep., 2020 "	"2020/09"	13	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Oct., 2020 "	"2020/10"	17	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Nov., 2020 "	"2020/11"	17	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Dec., 2020 "	"2020/12"	11	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Jul., 2020 "	"2020/07"	32	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Aug., 2020 "	"2020/08"	21	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Sep., 2020 "	"2020/09"	25	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Oct., 2020 "	"2020/10"	14	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Nov., 2020 "	"2020/11"	29	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Dec., 2020 "	"2020/12"	21	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Jul., 2020 "	"2020/07"	160	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Aug., 2020 "	"2020/08"	204	Not Applicable	Not Applicable
