"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Jan., 2016"	"2016/01"	38	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Feb., 2016"	"2016/02"	46	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Mar., 2016"	"2016/03"	44	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Apr., 2016"	"2016/04"	44	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"May, 2016"	"2016/05"	55	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Jun., 2016"	"2016/06"	46	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Jul., 2016"	"2016/07"	42	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Aug., 2016"	"2016/08"	37	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Sep., 2016"	"2016/09"	38	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Oct., 2016"	"2016/10"	35	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Nov., 2016"	"2016/11"	43	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Dec., 2016"	"2016/12"	52	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jan., 2016"	"2016/01"	171	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Feb., 2016"	"2016/02"	150	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Mar., 2016"	"2016/03"	166	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Apr., 2016"	"2016/04"	158	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"May, 2016"	"2016/05"	188	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jun., 2016"	"2016/06"	156	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jul., 2016"	"2016/07"	150	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Aug., 2016"	"2016/08"	150	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Sep., 2016"	"2016/09"	152	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Oct., 2016"	"2016/10"	182	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Nov., 2016"	"2016/11"	158	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Dec., 2016"	"2016/12"	193	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Jan., 2016"	"2016/01"	23	Not Applicable	Not Applicable
