"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	1733	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	7236	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	912	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	783	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	2131	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	359	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	768	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	4559	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	1426	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	1143	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	1574	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	506	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	1015	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	596	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	591	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	1762	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	2137	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	540	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	444	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	1756	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	594	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	3178	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	1707	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	1604	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	2605	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	2614	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	1563	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	4455	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	744	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	1170	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	1219	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	353	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	633	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	670	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	3781	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	2353	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	21637	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	633	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	3288	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	1346	Not Applicable	Not Applicable
