"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2015"	"2015"	523	55347	944.9
	"Autauga County, AL"	"01001"	"2016"	"2016"	520	55416	938.4
	"Autauga County, AL"	"01001"	"2017"	"2017"	528	55504	951.3
	"Autauga County, AL"	"01001"	"2018"	"2018"	536	55601	964.0
	"Autauga County, AL"	"01001"	"2019"	"2019"	545	55869	975.5
	"Baldwin County, AL"	"01003"	"2015"	"2015"	2092	203709	1027.0
	"Baldwin County, AL"	"01003"	"2016"	"2016"	1974	208563	946.5
	"Baldwin County, AL"	"01003"	"2017"	"2017"	2189	212628	1029.5
	"Baldwin County, AL"	"01003"	"2018"	"2018"	2357	218022	1081.1
	"Baldwin County, AL"	"01003"	"2019"	"2019"	2283	223234	1022.7
	"Barbour County, AL"	"01005"	"2015"	"2015"	295	26489	1113.7
	"Barbour County, AL"	"01005"	"2016"	"2016"	256	25965	985.9
	"Barbour County, AL"	"01005"	"2017"	"2017"	320	25270	1266.3
	"Barbour County, AL"	"01005"	"2018"	"2018"	312	24881	1254.0
	"Barbour County, AL"	"01005"	"2019"	"2019"	334	24686	1353.0
	"Bibb County, AL"	"01007"	"2015"	"2015"	238	22583	1053.9
	"Bibb County, AL"	"01007"	"2016"	"2016"	239	22643	1055.5
	"Bibb County, AL"	"01007"	"2017"	"2017"	271	22668	1195.5
	"Bibb County, AL"	"01007"	"2018"	"2018"	276	22400	1232.1
	"Bibb County, AL"	"01007"	"2019"	"2019"	264	22394	1178.9
	"Blount County, AL"	"01009"	"2015"	"2015"	613	57673	1062.9
	"Blount County, AL"	"01009"	"2016"	"2016"	697	57704	1207.9
	"Blount County, AL"	"01009"	"2017"	"2017"	712	58013	1227.3
	"Blount County, AL"	"01009"	"2018"	"2018"	689	57840	1191.2
	"Blount County, AL"	"01009"	"2019"	"2019"	718	57826	1241.7
	"Bullock County, AL"	"01011"	"2015"	"2015"	120	10696	1121.9
	"Bullock County, AL"	"01011"	"2016"	"2016"	133	10362	1283.5
	"Bullock County, AL"	"01011"	"2017"	"2017"	125	10309	1212.5
	"Bullock County, AL"	"01011"	"2018"	"2018"	112	10138	1104.8
	"Bullock County, AL"	"01011"	"2019"	"2019"	118	10101	1168.2
	"Butler County, AL"	"01013"	"2015"	"2015"	255	20154	1265.3
	"Butler County, AL"	"01013"	"2016"	"2016"	275	19998	1375.1
	"Butler County, AL"	"01013"	"2017"	"2017"	239	19825	1205.5
	"Butler County, AL"	"01013"	"2018"	"2018"	296	19680	1504.1
	"Butler County, AL"	"01013"	"2019"	"2019"	244	19448	1254.6
	"Calhoun County, AL"	"01015"	"2015"	"2015"	1484	115620	1283.5
	"Calhoun County, AL"	"01015"	"2016"	"2016"	1404	114611	1225.0
	"Calhoun County, AL"	"01015"	"2017"	"2017"	1523	114728	1327.5
	"Calhoun County, AL"	"01015"	"2018"	"2018"	1590	114277	1391.4
	"Calhoun County, AL"	"01015"	"2019"	"2019"	1414	113605	1244.7
	"Chambers County, AL"	"01017"	"2015"	"2015"	438	34123	1283.6
	"Chambers County, AL"	"01017"	"2016"	"2016"	460	33843	1359.2
	"Chambers County, AL"	"01017"	"2017"	"2017"	450	33713	1334.8
	"Chambers County, AL"	"01017"	"2018"	"2018"	420	33615	1249.4
	"Chambers County, AL"	"01017"	"2019"	"2019"	425	33254	1278.0
	"Cherokee County, AL"	"01019"	"2015"	"2015"	345	25859	1334.2
	"Cherokee County, AL"	"01019"	"2016"	"2016"	361	25725	1403.3
	"Cherokee County, AL"	"01019"	"2017"	"2017"	346	25857	1338.1
	"Cherokee County, AL"	"01019"	"2018"	"2018"	348	26032	1336.8
	"Cherokee County, AL"	"01019"	"2019"	"2019"	383	26196	1462.1
	"Chilton County, AL"	"01021"	"2015"	"2015"	529	43943	1203.8
	"Chilton County, AL"	"01021"	"2016"	"2016"	475	43941	1081.0
	"Chilton County, AL"	"01021"	"2017"	"2017"	520	44067	1180.0
	"Chilton County, AL"	"01021"	"2018"	"2018"	510	44153	1155.1
	"Chilton County, AL"	"01021"	"2019"	"2019"	494	44428	1111.9
	"Choctaw County, AL"	"01023"	"2015"	"2015"	183	13170	1389.5
	"Choctaw County, AL"	"01023"	"2016"	"2016"	180	12993	1385.4
	"Choctaw County, AL"	"01023"	"2017"	"2017"	177	12945	1367.3
	"Choctaw County, AL"	"01023"	"2018"	"2018"	191	12841	1487.4
	"Choctaw County, AL"	"01023"	"2019"	"2019"	183	12589	1453.7
	"Clarke County, AL"	"01025"	"2015"	"2015"	275	24675	1114.5
	"Clarke County, AL"	"01025"	"2016"	"2016"	315	24392	1291.4
	"Clarke County, AL"	"01025"	"2017"	"2017"	282	24083	1171.0
	"Clarke County, AL"	"01025"	"2018"	"2018"	317	23920	1325.3
	"Clarke County, AL"	"01025"	"2019"	"2019"	352	23622	1490.1
	"Clay County, AL"	"01027"	"2015"	"2015"	190	13555	1401.7
	"Clay County, AL"	"01027"	"2016"	"2016"	177	13492	1311.9
	"Clay County, AL"	"01027"	"2017"	"2017"	164	13367	1226.9
	"Clay County, AL"	"01027"	"2018"	"2018"	184	13275	1386.1
	"Clay County, AL"	"01027"	"2019"	"2019"	191	13235	1443.1
	"Cleburne County, AL"	"01029"	"2015"	"2015"	205	15018	1365.0
	"Cleburne County, AL"	"01029"	"2016"	"2016"	191	14924	1279.8
	"Cleburne County, AL"	"01029"	"2017"	"2017"	194	14900	1302.0
	"Cleburne County, AL"	"01029"	"2018"	"2018"	173	14987	1154.3
	"Cleburne County, AL"	"01029"	"2019"	"2019"	211	14910	1415.2
	"Coffee County, AL"	"01031"	"2015"	"2015"	502	51211	980.3
	"Coffee County, AL"	"01031"	"2016"	"2016"	508	51226	991.7
	"Coffee County, AL"	"01031"	"2017"	"2017"	526	51874	1014.0
	"Coffee County, AL"	"01031"	"2018"	"2018"	592	51909	1140.5
	"Coffee County, AL"	"01031"	"2019"	"2019"	568	52342	1085.2
	"Colbert County, AL"	"01033"	"2015"	"2015"	747	54354	1374.3
	"Colbert County, AL"	"01033"	"2016"	"2016"	707	54216	1304.0
	"Colbert County, AL"	"01033"	"2017"	"2017"	692	54500	1269.7
	"Colbert County, AL"	"01033"	"2018"	"2018"	783	54762	1429.8
	"Colbert County, AL"	"01033"	"2019"	"2019"	759	55241	1374.0
	"Conecuh County, AL"	"01035"	"2015"	"2015"	190	12672	1499.4
	"Conecuh County, AL"	"01035"	"2016"	"2016"	153	12395	1234.4
	"Conecuh County, AL"	"01035"	"2017"	"2017"	174	12469	1395.5
	"Conecuh County, AL"	"01035"	"2018"	"2018"	179	12277	1458.0
	"Conecuh County, AL"	"01035"	"2019"	"2019"	204	12067	1690.6
	"Coosa County, AL"	"01037"	"2015"	"2015"	151	10724	1408.1
	"Coosa County, AL"	"01037"	"2016"	"2016"	160	10581	1512.1
	"Coosa County, AL"	"01037"	"2017"	"2017"	134	10754	1246.0
	"Coosa County, AL"	"01037"	"2018"	"2018"	148	10715	1381.2
	"Coosa County, AL"	"01037"	"2019"	"2019"	138	10663	1294.2
	"Covington County, AL"	"01039"	"2015"	"2015"	546	37835	1443.1
	"Covington County, AL"	"01039"	"2016"	"2016"	503	37458	1342.8
	"Covington County, AL"	"01039"	"2017"	"2017"	555	37092	1496.3
	"Covington County, AL"	"01039"	"2018"	"2018"	574	36986	1551.9
	"Covington County, AL"	"01039"	"2019"	"2019"	552	37049	1489.9
	"Crenshaw County, AL"	"01041"	"2015"	"2015"	178	13963	1274.8
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	191	13913	1372.8
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	184	13871	1326.5
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	178	13824	1287.6
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	193	13772	1401.4
	"Cullman County, AL"	"01043"	"2015"	"2015"	1007	82005	1228.0
	"Cullman County, AL"	"01043"	"2016"	"2016"	1012	82471	1227.1
	"Cullman County, AL"	"01043"	"2017"	"2017"	1057	82755	1277.3
	"Cullman County, AL"	"01043"	"2018"	"2018"	1087	83442	1302.7
	"Cullman County, AL"	"01043"	"2019"	"2019"	1092	83768	1303.6
	"Dale County, AL"	"01045"	"2015"	"2015"	511	49565	1031.0
	"Dale County, AL"	"01045"	"2016"	"2016"	550	49226	1117.3
	"Dale County, AL"	"01045"	"2017"	"2017"	537	49226	1090.9
	"Dale County, AL"	"01045"	"2018"	"2018"	536	48956	1094.9
	"Dale County, AL"	"01045"	"2019"	"2019"	551	49172	1120.6
	"Dallas County, AL"	"01047"	"2015"	"2015"	544	41131	1322.6
	"Dallas County, AL"	"01047"	"2016"	"2016"	571	40008	1427.2
	"Dallas County, AL"	"01047"	"2017"	"2017"	521	39215	1328.6
	"Dallas County, AL"	"01047"	"2018"	"2018"	566	38310	1477.4
	"Dallas County, AL"	"01047"	"2019"	"2019"	461	37196	1239.4
	"DeKalb County, AL"	"01049"	"2015"	"2015"	827	71130	1162.7
	"DeKalb County, AL"	"01049"	"2016"	"2016"	792	70900	1117.1
	"DeKalb County, AL"	"01049"	"2017"	"2017"	815	71617	1138.0
	"DeKalb County, AL"	"01049"	"2018"	"2018"	844	71385	1182.3
	"DeKalb County, AL"	"01049"	"2019"	"2019"	845	71513	1181.6
	"Elmore County, AL"	"01051"	"2015"	"2015"	761	81468	934.1
	"Elmore County, AL"	"01051"	"2016"	"2016"	799	81799	976.8
	"Elmore County, AL"	"01051"	"2017"	"2017"	816	81677	999.1
	"Elmore County, AL"	"01051"	"2018"	"2018"	811	81887	990.4
	"Elmore County, AL"	"01051"	"2019"	"2019"	803	81209	988.8
	"Escambia County, AL"	"01053"	"2015"	"2015"	486	37789	1286.1
	"Escambia County, AL"	"01053"	"2016"	"2016"	522	37728	1383.6
	"Escambia County, AL"	"01053"	"2017"	"2017"	478	37447	1276.5
	"Escambia County, AL"	"01053"	"2018"	"2018"	473	36748	1287.1
	"Escambia County, AL"	"01053"	"2019"	"2019"	478	36633	1304.8
	"Etowah County, AL"	"01055"	"2015"	"2015"	1435	103057	1392.4
	"Etowah County, AL"	"01055"	"2016"	"2016"	1389	102564	1354.3
	"Etowah County, AL"	"01055"	"2017"	"2017"	1406	102755	1368.3
	"Etowah County, AL"	"01055"	"2018"	"2018"	1460	102501	1424.4
	"Etowah County, AL"	"01055"	"2019"	"2019"	1396	102268	1365.0
	"Fayette County, AL"	"01057"	"2015"	"2015"	228	16759	1360.5
	"Fayette County, AL"	"01057"	"2016"	"2016"	249	16546	1504.9
	"Fayette County, AL"	"01057"	"2017"	"2017"	237	16468	1439.2
	"Fayette County, AL"	"01057"	"2018"	"2018"	234	16433	1424.0
	"Fayette County, AL"	"01057"	"2019"	"2019"	217	16302	1331.1
	"Franklin County, AL"	"01059"	"2015"	"2015"	382	31696	1205.2
	"Franklin County, AL"	"01059"	"2016"	"2016"	376	31628	1188.8
	"Franklin County, AL"	"01059"	"2017"	"2017"	364	31495	1155.7
	"Franklin County, AL"	"01059"	"2018"	"2018"	371	31363	1182.9
	"Franklin County, AL"	"01059"	"2019"	"2019"	381	31362	1214.8
	"Geneva County, AL"	"01061"	"2015"	"2015"	350	26777	1307.1
	"Geneva County, AL"	"01061"	"2016"	"2016"	379	26614	1424.1
	"Geneva County, AL"	"01061"	"2017"	"2017"	364	26421	1377.7
	"Geneva County, AL"	"01061"	"2018"	"2018"	395	26314	1501.1
	"Geneva County, AL"	"01061"	"2019"	"2019"	354	26271	1347.5
	"Greene County, AL"	"01063"	"2015"	"2015"	114	8479	1344.5
	"Greene County, AL"	"01063"	"2016"	"2016"	104	8422	1234.9
	"Greene County, AL"	"01063"	"2017"	"2017"	124	8330	1488.6
	"Greene County, AL"	"01063"	"2018"	"2018"	112	8233	1360.4
	"Greene County, AL"	"01063"	"2019"	"2019"	92	8111	1134.3
	"Hale County, AL"	"01065"	"2015"	"2015"	171	15068	1134.9
	"Hale County, AL"	"01065"	"2016"	"2016"	189	14952	1264.0
	"Hale County, AL"	"01065"	"2017"	"2017"	209	14812	1411.0
	"Hale County, AL"	"01065"	"2018"	"2018"	170	14726	1154.4
	"Hale County, AL"	"01065"	"2019"	"2019"	219	14651	1494.8
	"Henry County, AL"	"01067"	"2015"	"2015"	227	17221	1318.2
	"Henry County, AL"	"01067"	"2016"	"2016"	215	17164	1252.6
	"Henry County, AL"	"01067"	"2017"	"2017"	236	17147	1376.3
