"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2021"	"2021"	709	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"2022 (provisional)"	"2022"	459	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2021"	"2021"	3098	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"2022 (provisional)"	"2022"	1861	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"2021"	"2021"	373	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"2022 (provisional)"	"2022"	215	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"2021"	"2021"	339	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"2022 (provisional)"	"2022"	192	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2021"	"2021"	841	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"2022 (provisional)"	"2022"	559	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"2021"	"2021"	141	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"2022 (provisional)"	"2022"	86	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2021"	"2021"	309	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"2022 (provisional)"	"2022"	203	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2021"	"2021"	1867	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"2022 (provisional)"	"2022"	1157	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"2021"	"2021"	577	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"2022 (provisional)"	"2022"	333	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2021"	"2021"	471	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"2022 (provisional)"	"2022"	274	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2021"	"2021"	653	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"2022 (provisional)"	"2022"	392	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"2021"	"2021"	210	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"2022 (provisional)"	"2022"	136	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"2021"	"2021"	388	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"2022 (provisional)"	"2022"	256	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"2021"	"2021"	236	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"2022 (provisional)"	"2022"	142	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"2021"	"2021"	262	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"2022 (provisional)"	"2022"	140	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2021"	"2021"	716	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"2022 (provisional)"	"2022"	430	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2021"	"2021"	886	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"2022 (provisional)"	"2022"	576	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"2021"	"2021"	224	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"2022 (provisional)"	"2022"	133	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"2021"	"2021"	184	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"2022 (provisional)"	"2022"	116	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2021"	"2021"	724	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"2022 (provisional)"	"2022"	441	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	"2021"	"2021"	241	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	"2022 (provisional)"	"2022"	144	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2021"	"2021"	1308	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"2022 (provisional)"	"2022"	827	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2021"	"2021"	737	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"2022 (provisional)"	"2022"	415	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"2021"	"2021"	678	Not Applicable	Not Applicable
	"Dallas County, AL"	"01047"	"2022 (provisional)"	"2022"	366	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2021"	"2021"	1120	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"2022 (provisional)"	"2022"	617	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"2021"	"2021"	1088	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"2022 (provisional)"	"2022"	676	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	"2021"	"2021"	662	Not Applicable	Not Applicable
	"Escambia County, AL"	"01053"	"2022 (provisional)"	"2022"	386	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"2021"	"2021"	1826	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"2022 (provisional)"	"2022"	1183	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	"2021"	"2021"	316	Not Applicable	Not Applicable
	"Fayette County, AL"	"01057"	"2022 (provisional)"	"2022"	192	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	"2021"	"2021"	491	Not Applicable	Not Applicable
	"Franklin County, AL"	"01059"	"2022 (provisional)"	"2022"	294	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	"2021"	"2021"	527	Not Applicable	Not Applicable
	"Geneva County, AL"	"01061"	"2022 (provisional)"	"2022"	290	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	"2021"	"2021"	137	Not Applicable	Not Applicable
	"Greene County, AL"	"01063"	"2022 (provisional)"	"2022"	83	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	"2021"	"2021"	262	Not Applicable	Not Applicable
	"Hale County, AL"	"01065"	"2022 (provisional)"	"2022"	155	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	"2021"	"2021"	271	Not Applicable	Not Applicable
	"Henry County, AL"	"01067"	"2022 (provisional)"	"2022"	171	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"2021"	"2021"	1603	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"2022 (provisional)"	"2022"	968	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"2021"	"2021"	986	Not Applicable	Not Applicable
	"Jackson County, AL"	"01071"	"2022 (provisional)"	"2022"	620	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2021"	"2021"	9022	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"2022 (provisional)"	"2022"	5380	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	"2021"	"2021"	242	Not Applicable	Not Applicable
	"Lamar County, AL"	"01075"	"2022 (provisional)"	"2022"	171	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"2021"	"2021"	1306	Not Applicable	Not Applicable
	"Lauderdale County, AL"	"01077"	"2022 (provisional)"	"2022"	861	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"2021"	"2021"	583	Not Applicable	Not Applicable
	"Lawrence County, AL"	"01079"	"2022 (provisional)"	"2022"	302	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"2021"	"2021"	1444	Not Applicable	Not Applicable
	"Lee County, AL"	"01081"	"2022 (provisional)"	"2022"	951	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"2021"	"2021"	1151	Not Applicable	Not Applicable
	"Limestone County, AL"	"01083"	"2022 (provisional)"	"2022"	723	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	"2021"	"2021"	184	Not Applicable	Not Applicable
	"Lowndes County, AL"	"01085"	"2022 (provisional)"	"2022"	125	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	"2021"	"2021"	246	Not Applicable	Not Applicable
	"Macon County, AL"	"01087"	"2022 (provisional)"	"2022"	177	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"2021"	"2021"	4095	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"2022 (provisional)"	"2022"	2613	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	"2021"	"2021"	351	Not Applicable	Not Applicable
	"Marengo County, AL"	"01091"	"2022 (provisional)"	"2022"	185	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	"2021"	"2021"	512	Not Applicable	Not Applicable
	"Marion County, AL"	"01093"	"2022 (provisional)"	"2022"	289	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"2021"	"2021"	1424	Not Applicable	Not Applicable
	"Marshall County, AL"	"01095"	"2022 (provisional)"	"2022"	900	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"2021"	"2021"	5837	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"2022 (provisional)"	"2022"	3381	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	"2021"	"2021"	374	Not Applicable	Not Applicable
	"Monroe County, AL"	"01099"	"2022 (provisional)"	"2022"	194	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"2021"	"2021"	2781	Not Applicable	Not Applicable
	"Montgomery County, AL"	"01101"	"2022 (provisional)"	"2022"	1706	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"2021"	"2021"	1693	Not Applicable	Not Applicable
	"Morgan County, AL"	"01103"	"2022 (provisional)"	"2022"	1099	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	"2021"	"2021"	160	Not Applicable	Not Applicable
	"Perry County, AL"	"01105"	"2022 (provisional)"	"2022"	87	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	"2021"	"2021"	340	Not Applicable	Not Applicable
	"Pickens County, AL"	"01107"	"2022 (provisional)"	"2022"	170	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	"2021"	"2021"	457	Not Applicable	Not Applicable
	"Pike County, AL"	"01109"	"2022 (provisional)"	"2022"	270	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	"2021"	"2021"	357	Not Applicable	Not Applicable
	"Randolph County, AL"	"01111"	"2022 (provisional)"	"2022"	223	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"2021"	"2021"	857	Not Applicable	Not Applicable
	"Russell County, AL"	"01113"	"2022 (provisional)"	"2022"	486	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"2021"	"2021"	1312	Not Applicable	Not Applicable
	"St. Clair County, AL"	"01115"	"2022 (provisional)"	"2022"	844	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"2021"	"2021"	1935	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"2022 (provisional)"	"2022"	1240	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	"2021"	"2021"	163	Not Applicable	Not Applicable
	"Sumter County, AL"	"01119"	"2022 (provisional)"	"2022"	109	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"2021"	"2021"	1367	Not Applicable	Not Applicable
	"Talladega County, AL"	"01121"	"2022 (provisional)"	"2022"	757	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"2021"	"2021"	729	Not Applicable	Not Applicable
	"Tallapoosa County, AL"	"01123"	"2022 (provisional)"	"2022"	425	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"2021"	"2021"	2348	Not Applicable	Not Applicable
	"Tuscaloosa County, AL"	"01125"	"2022 (provisional)"	"2022"	1440	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"2021"	"2021"	1306	Not Applicable	Not Applicable
	"Walker County, AL"	"01127"	"2022 (provisional)"	"2022"	750	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	"2021"	"2021"	243	Not Applicable	Not Applicable
	"Washington County, AL"	"01129"	"2022 (provisional)"	"2022"	159	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	"2021"	"2021"	185	Not Applicable	Not Applicable
	"Wilcox County, AL"	"01131"	"2022 (provisional)"	"2022"	107	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	"2021"	"2021"	424	Not Applicable	Not Applicable
	"Winston County, AL"	"01133"	"2022 (provisional)"	"2022"	270	Not Applicable	Not Applicable
	"Aleutians East Borough, AK"	"02013"	"2021"	"2021"	10	Not Applicable	Not Applicable
	"Aleutians East Borough, AK"	"02013"	"2022 (provisional)"	"2022"	Suppressed	Not Applicable	Not Applicable
	"Aleutians West Census Area, AK"	"02016"	"2021"	"2021"	18	Not Applicable	Not Applicable
