FIPSCode,newFIPSCode
02010,02010
02013,02010
02016,02010
02070,02070
02164,02070
02140,02140
02188,02140
02158,02158
02270,02158
02105,02195
02130,02195
02195,02195
02195,02195
02198,02195
02201,02195
02275,02195
02280,02195
02105,02232
02230,02232
02231,02232
02232,02232
02063,02261
02066,02261
02282,02232
02068,02240
02240,02240
02290,02240
04012,04027
04027,04027
08001,08059
08013,08059
08014,08059
08059,08059
08123,08059
12025,12086
12086,12086
30031,30031
30067,30031
30113,30031
46102,46102
46113,46102
51005,51005
51560,51005
51019,51019
51515,51019
51083,51083
51780,51083
