csCode,csName,countyName,stateFIPS,countyFIPS,FIPSCode
01CS001,Autauga,Autauga,1,1,01001
01CS002,Baldwin,Baldwin,1,3,01003
01CS003,Barbour+Bullock+Henry,Barbour,1,5,01005
01CS003,Barbour+Bullock+Henry,Bullock,1,11,01011
01CS003,Barbour+Bullock+Henry,Henry,1,67,01067
01CS004,Bibb+Chilton+Coosa+Perry,Bibb,1,7,01007
01CS004,Bibb+Chilton+Coosa+Perry,Chilton,1,21,01021
01CS004,Bibb+Chilton+Coosa+Perry,Coosa,1,37,01037
01CS004,Bibb+Chilton+Coosa+Perry,Perry,1,105,01105
01CS005,Blount,Blount,1,9,01009
01CS006,Butler+Crenshaw+Pike,Butler,1,13,01013
01CS006,Butler+Crenshaw+Pike,Crenshaw,1,41,01041
01CS006,Butler+Crenshaw+Pike,Pike,1,109,01109
01CS007,Calhoun,Calhoun,1,15,01015
01CS008,Chambers+Cleburne+Randolph,Chambers,1,17,01017
01CS008,Chambers+Cleburne+Randolph,Cleburne,1,29,01029
01CS008,Chambers+Cleburne+Randolph,Randolph,1,111,01111
01CS009,Cherokee+Etowah,Cherokee,1,19,01019
01CS009,Cherokee+Etowah,Etowah,1,55,01055
01CS010,Choctaw+Clarke+Washington,Choctaw,1,23,01023
01CS010,Choctaw+Clarke+Washington,Clarke,1,25,01025
01CS010,Choctaw+Clarke+Washington,Washington,1,129,01129
01CS011,Clay+Talladega,Clay,1,27,01027
01CS011,Clay+Talladega,Talladega,1,121,01121
01CS012,Coffee+Geneva,Coffee,1,31,01031
01CS012,Coffee+Geneva,Geneva,1,61,01061
01CS013,Colbert,Colbert,1,33,01033
01CS014,Conecuh+Marengo+Monroe+Wilcox,Conecuh,1,35,01035
01CS014,Conecuh+Marengo+Monroe+Wilcox,Marengo,1,91,01091
01CS014,Conecuh+Marengo+Monroe+Wilcox,Monroe,1,99,01099
01CS014,Conecuh+Marengo+Monroe+Wilcox,Wilcox,1,131,01131
01CS015,Convington+Escambia,Covington,1,39,01039
01CS015,Convington+Escambia,Escambia,1,53,01053
01CS016,Cullman,Cullman,1,43,01043
01CS017,Dale,Dale,1,45,01045
01CS018,Dallas+Lowndes,Dallas,1,47,01047
01CS018,Dallas+Lowndes,Lowndes,1,85,01085
01CS019,DeKalb,DeKalb,1,49,01049
01CS020,Elmore,Elmore,1,51,01051
01CS021,Fayette+Lamar+Marion,Fayette,1,57,01057
01CS021,Fayette+Lamar+Marion,Lamar,1,75,01075
01CS021,Fayette+Lamar+Marion,Marion,1,93,01093
01CS022,Franklin+Lawrence,Franklin,1,59,01059
01CS022,Franklin+Lawrence,Lawrence,1,79,01079
01CS023,Greene+Hale+Pickens+Sumter,Greene,1,63,01063
01CS023,Greene+Hale+Pickens+Sumter,Hale,1,65,01065
01CS023,Greene+Hale+Pickens+Sumter,Pickens,1,107,01107
01CS023,Greene+Hale+Pickens+Sumter,Sumter,1,119,01119
01CS024,Houston,Houston,1,69,01069
01CS025,Jackson,Jackson,1,71,01071
01CS026,Jefferson,Jefferson,1,73,01073
01CS027,Lauderdale,Lauderdale,1,77,01077
01CS028,Lee,Lee,1,81,01081
01CS029,Limestone,Limestone,1,83,01083
01CS030,Macon+Tallapoosa,Macon,1,87,01087
01CS030,Macon+Tallapoosa,Tallapoosa,1,123,01123
01CS031,Madison,Madison,1,89,01089
01CS032,Marshall,Marshall,1,95,01095
01CS033,Mobile,Mobile,1,97,01097
01CS034,Montgomery,Montgomery,1,101,01101
01CS035,Morgan,Morgan,1,103,01103
01CS036,Russell,Russell,1,113,01113
01CS037,St. Clair,St. Clair,1,115,01115
01CS038,Shelby,Shelby,1,117,01117
01CS039,Tuscaloosa,Tuscaloosa,1,125,01125
01CS040,Walker+Winston,Walker,1,127,01127
01CS040,Walker+Winston,Winston,1,133,01133
02CS001,Anchorage  ,Anchorage  ,2,20,02020
02CS002,Fairbanks North Star ,Fairbanks North Star ,2,90,02090
02CS003,Kenai Peninsula  ,Kenai Peninsula  ,2,122,02122
02CS004,Matanuska-Susitna  ,Matanuska-Susitna ,2,170,02170
02CS005,Northern Alaska,Denali ,2,68,02068
02CS005,Northern Alaska,Nome ,2,180,02180
02CS005,Northern Alaska,North Slope ,2,185,02185
02CS005,Northern Alaska,Northwest Arctic ,2,188,02188
02CS005,Northern Alaska,Southeast Fairbanks ,2,240,02240
02CS005,Northern Alaska,Valdez-Cordova,2,261,02261
02CS005,Northern Alaska,Yukon-Koyukuk,2,290,02290
02CS006,Southeast Alaska,Haines ,2,100,02100
02CS006,Southeast Alaska,Hoonah-Angoon,2,105,02105
02CS006,Southeast Alaska,Juneau ,2,110,02110
02CS006,Southeast Alaska,Ketchikan Gateway ,2,130,02130
02CS006,Southeast Alaska,Petersburg,2,195,02195
02CS006,Southeast Alaska,Prince of Wales-Hyder ,2,198,02198
02CS006,Southeast Alaska,Sitka,2,220,02220
02CS006,Southeast Alaska,Skagway ,2,230,02230
02CS006,Southeast Alaska,Wrangell ,2,275,02275
02CS006,Southeast Alaska,Yakutat,2,282,02282
02CS007,Southwest Alaska,Aleutians East ,2,13,02013
02CS007,Southwest Alaska,Aleutians West ,2,16,02016
02CS007,Southwest Alaska,Bethel ,2,50,02050
02CS007,Southwest Alaska,Bristol Bay ,2,60,02060
02CS007,Southwest Alaska,Dillingham ,2,70,02070
02CS007,Southwest Alaska,Kodiak Island ,2,150,02150
02CS007,Southwest Alaska,Lake and Peninsula ,2,164,02164
02CS007,Southwest Alaska,Wade Hampton,2,270,02270
04CS001,Apache,Apache,4,1,04001
04CS002,Cochise+Graham+Greenee,Cochise,4,3,04003
04CS002,Cochise+Graham+Greenee,Graham,4,9,04009
04CS002,Cochise+Graham+Greenee,Greenlee,4,11,04011
04CS003,Coconino,Coconino,4,5,04005
04CS004,Gila,Gila,4,7,04007
04CS005,La Paz+Yavapai,La Paz,4,12,04012
04CS005,La Paz+Yavapai,Yavapai,4,25,04025
04CS006,Maricopa,Maricopa,4,13,04013
04CS007,Mohave,Mohave,4,15,04015
04CS008,Navajo,Navajo,4,17,04017
04CS009,Pima+Santa Cruz,Pima,4,19,04019
04CS009,Pima+Santa Cruz,Santa Cruz,4,23,04023
04CS010,Pinal,Pinal,4,21,04021
04CS011,Yuma,Yuma,4,27,04027
05CS001,Arkansas (county)+Monroe+Phillips+Prairie,Arkansas (county),5,1,05001
05CS001,Arkansas (county)+Monroe+Phillips+Prairie,Monroe,5,95,05095
05CS001,Arkansas (county)+Monroe+Phillips+Prairie,Phillips,5,107,05107
05CS001,Arkansas (county)+Monroe+Phillips+Prairie,Prairie,5,117,05117
05CS002,Baxter+Marion,Baxter,5,5,05005
05CS002,Baxter+Marion,Marion,5,89,05089
05CS003,Benton,Benton,5,7,05007
05CS004,Boone+Carroll+Madison,Boone,5,9,05009
05CS004,Boone+Carroll+Madison,Carroll,5,15,05015
05CS004,Boone+Carroll+Madison,Madison,5,87,05087
05CS005,Bradley+Calhoun+Cleveland+Union,Bradley,5,11,05011
05CS005,Bradley+Calhoun+Cleveland+Union,Calhoun,5,13,05013
05CS005,Bradley+Calhoun+Cleveland+Union,Cleveland,5,25,05025
05CS005,Bradley+Calhoun+Cleveland+Union,Union,5,139,05139
05CS006,Clark+Dallas+Ouachita ,Clark,5,19,05019
05CS006,Clark+Dallas+Ouachita ,Dallas,5,39,05039
05CS006,Clark+Dallas+Ouachita ,Ouachita ,5,103,05103
05CS007,Clay+Greene,Clay,5,21,05021
05CS007,Clay+Greene,Greene,5,55,05055
05CS008,Columbia+Lafayette+Miller,Columbia,5,27,05027
05CS008,Columbia+Lafayette+Miller,Lafayette,5,73,05073
05CS008,Columbia+Lafayette+Miller,Miller,5,91,05091
05CS009,Conway+Pope,Conway,5,29,05029
05CS009,Conway+Pope,Pope,5,115,05115
05CS010,Craighead,Craighead,5,31,05031
05CS011,Crawford,Crawford,5,33,05033
05CS012,Crittenden,Crittenden,5,35,05035
05CS013,Cross+Lee+St. Francis,Cross,5,37,05037
05CS013,Cross+Lee+St. Francis,Lee,5,77,05077
05CS013,Cross+Lee+St. Francis,St. Francis,5,123,05123
05CS014,Faulkner,Faulkner,5,45,05045
05CS015,Franklin+Johnson+Logan,Franklin,5,47,05047
05CS015,Franklin+Johnson+Logan,Johnson,5,71,05071
05CS015,Franklin+Johnson+Logan,Logan,5,83,05083
05CS016,Garland,Garland,5,51,05051
05CS017,Grant+Hot Spring,Grant,5,53,05053
05CS017,Grant+Hot Spring,Hot Spring,5,59,05059
05CS018,Hempstead+Howard+Nevada+Pike,Hempstead,5,57,05057
05CS018,Hempstead+Howard+Nevada+Pike,Howard,5,61,05061
05CS018,Hempstead+Howard+Nevada+Pike,Nevada,5,99,05099
05CS018,Hempstead+Howard+Nevada+Pike,Pike,5,109,05109
05CS019,Independence+Jackson+Woodruff,Independence,5,63,05063
05CS019,Independence+Jackson+Woodruff,Jackson,5,67,05067
05CS019,Independence+Jackson+Woodruff,Woodruff,5,147,05147
05CS020,Jefferson,Jefferson,5,69,05069
05CS021,Little River+Polk+Sevier,Little River,5,81,05081
05CS021,Little River+Polk+Sevier,Polk,5,113,05113
05CS021,Little River+Polk+Sevier,Sevier,5,133,05133
05CS022,Lonoke,Lonoke,5,85,05085
05CS023,Mississippi+Poinsett,Mississippi,5,93,05093
05CS023,Mississippi+Poinsett,Poinsett,5,111,05111
05CS024,Montgomery+Perry+Scott+Yell,Montgomery,5,97,05097
