UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2022,999,332838183,164836729,168001454,125462558,126185038,21829030,23490715,2228534,2187157,9893034,10667741,445491,430584,4978082,5040219,129913353,130668209,24123107,25857655,3635801,3651352,11746970,12509398,874889,862053,132721896,136663985,97468753,98918594,20213524,21836556,1214482,1247534,9552684,10329278,320640,313622,3951813,4018401,101002813,102491937,22021797,23711642,2202796,2296750,11121395,11886523,655034,651090,32114833,31337469,27993805,27266444,1615506,1654159,1014052,939623,340350,338463,124851,116962,1026269,1021818,28910540,28176272,2101310,2146013,1433005,1354602,625575,622875,219855,210963
R,7,2022,0,3539029,1809967,1729062,1249160,1193126,288415,275775,35155,33579,104152,99446,6881,6560,126204,120576,1365603,1304378,360205,344354,57618,55037,149686,142952,15263,14572,1329108,1269797,861442,822814,252633,241602,13721,13102,96210,91862,4130,3937,100972,96480,955182,912382,311024,297388,27966,26711,133896,127877,10183,9728,480859,459265,387718,370312,35782,34173,21434,20477,7942,7584,2751,2623,25232,24096,410421,391996,49181,46966,29652,28326,15790,15075,5080,4844
R,7,2022,1,3569108,1823641,1745467,1260134,1204372,291927,282001,35184,34009,107748,101564,7004,6624,121644,116897,1372090,1311931,360141,347922,57462,55365,152169,144002,15260,14481,1341117,1283163,870456,831479,255971,247413,13786,13178,99763,93943,4218,3979,96923,93171,960192,917708,311102,300739,27914,26731,136534,129069,10203,9668,482524,462304,389678,372893,35956,34588,21398,20831,7985,7621,2786,2645,24721,23726,411898,394223,49039,47183,29548,28634,15635,14933,5057,4813
R,7,2022,2,3708145,1895844,1812301,1320112,1259850,296253,286735,35322,34111,113290,106300,7120,6710,123747,118595,1433927,1368929,364699,352666,58269,56162,159149,149893,15614,14744,1405944,1341176,921480,876731,261395,253059,14184,13668,105532,98840,4381,4107,98972,94771,1013012,964385,316878,306508,28878,27773,143694,135059,10610,9978,489900,471125,398632,383119,34858,33676,21138,20443,7758,7460,2739,2603,24775,23824,420915,404544,47821,46158,29391,28389,15455,14834,5004,4766
R,7,2022,3,3772220,1926266,1845954,1339526,1280140,302469,295308,35989,34582,116266,109670,7259,6838,124757,119416,1454201,1389903,371503,361583,59224,56933,162411,153600,15825,14943,1424201,1360794,930084,884026,267239,261058,14523,14031,108327,102177,4437,4205,99591,95297,1022129,972102,323108,314724,29373,28314,146664,138638,10711,10138,502065,485160,409442,396114,35230,34250,21466,20551,7939,7493,2822,2633,25166,24119,432072,417801,48395,46859,29851,28619,15747,14962,5114,4805
R,7,2022,4,3861189,1973763,1887426,1371061,1307913,309393,301845,36674,34726,122271,114575,7336,6967,127028,121400,1487821,1419491,379342,369096,60334,57411,169510,159346,16117,15256,1464266,1396227,953895,905304,274811,268256,14571,14054,114580,107153,4619,4346,101790,97114,1047945,995024,331630,322811,29749,28616,154022,144448,11095,10435,509497,491199,417166,402609,34582,33589,22103,20672,7691,7422,2717,2621,25238,24286,439876,424467,47712,46285,30585,28795,15488,14898,5022,4821
R,7,2022,5,3940055,2016166,1923889,1405743,1337661,310161,301772,35865,34854,128888,120686,7502,7119,128007,121797,1523305,1449582,379661,368669,59939,57915,177250,165863,16525,15533,1497190,1423943,976907,925063,276051,268637,15641,15011,121165,113340,4818,4490,102608,97402,1071593,1015019,332359,322860,31217,29872,161661,150976,11523,10682,518976,499946,428836,412598,34110,33135,20224,19843,7723,7346,2684,2629,25399,24395,451712,434563,47302,45809,28722,28043,15589,14887,5002,4851
R,7,2022,6,4044213,2066813,1977400,1457042,1388111,311012,304899,35534,34205,126649,119411,7370,7096,129206,123678,1575799,1501810,380949,372384,60215,57848,175234,165404,16447,15678,1534520,1465691,1013802,962047,277454,272354,16176,15570,118907,112122,4674,4499,103507,99099,1109408,1053603,334213,327150,32172,30907,159470,150517,11387,10842,532293,511709,443240,426064,33558,32545,19358,18635,7742,7289,2696,2597,25699,24579,466391,448207,46736,45234,28043,26941,15764,14887,5060,4836
R,7,2022,7,4080398,2084338,1996060,1466655,1400331,316914,309115,35303,34260,129235,121562,7316,7090,128915,123702,1585133,1514054,386750,376561,60070,57971,177509,167553,16377,15654,1552835,1482586,1023472,972557,282861,276048,16525,15821,121817,114422,4687,4525,103473,99213,1119026,1064211,339532,330829,32682,31227,162272,152893,11431,10891,531503,513474,443183,427774,34053,33067,18778,18439,7418,7140,2629,2565,25442,24489,466107,449843,47218,45732,27388,26744,15237,14660,4946,4763
R,7,2022,8,4068229,2083108,1985121,1470017,1394597,317423,308487,35563,34267,125548,118800,7007,6756,127550,122214,1587288,1506929,386063,375282,60248,57841,173520,163950,16103,15334,1554370,1478375,1029003,972249,283154,275573,16884,16146,118458,112055,4559,4384,102312,97968,1123549,1062743,338798,329834,33018,31500,158621,149757,11286,10735,528738,506746,441014,422348,34269,32914,18679,18121,7090,6745,2448,2372,25238,24246,463739,444186,47265,45448,27230,26341,14899,14193,4817,4599
