fips,state,county,metro,region,metroname,regionname
1001,AL,Autauga,3,6,Md/Sm metro,East South Central
1003,AL,Baldwin,3,6,Md/Sm metro,East South Central
1005,AL,Barbour,4,6,Nonmetro,East South Central
1007,AL,Bibb,2,10,Lg fringe metro,Appalachia
1009,AL,Blount,2,10,Lg fringe metro,Appalachia
1011,AL,Bullock,4,6,Nonmetro,East South Central
1013,AL,Butler,4,6,Nonmetro,East South Central
1015,AL,Calhoun,3,10,Md/Sm metro,Appalachia
1017,AL,Chambers,4,10,Nonmetro,Appalachia
1019,AL,Cherokee,4,10,Nonmetro,Appalachia
1021,AL,Chilton,2,10,Lg fringe metro,Appalachia
1023,AL,Choctaw,4,6,Nonmetro,East South Central
1025,AL,Clarke,4,6,Nonmetro,East South Central
1027,AL,Clay,4,10,Nonmetro,Appalachia
1029,AL,Cleburne,4,10,Nonmetro,Appalachia
1031,AL,Coffee,4,6,Nonmetro,East South Central
1033,AL,Colbert,3,10,Md/Sm metro,Appalachia
1035,AL,Conecuh,4,6,Nonmetro,East South Central
1037,AL,Coosa,4,10,Nonmetro,Appalachia
1039,AL,Covington,4,6,Nonmetro,East South Central
1041,AL,Crenshaw,4,6,Nonmetro,East South Central
1043,AL,Cullman,4,10,Nonmetro,Appalachia
1045,AL,Dale,4,6,Nonmetro,East South Central
1047,AL,Dallas,4,6,Nonmetro,East South Central
1049,AL,DeKalb,4,10,Nonmetro,Appalachia
1051,AL,Elmore,3,10,Md/Sm metro,Appalachia
1053,AL,Escambia,4,6,Nonmetro,East South Central
1055,AL,Etowah,3,10,Md/Sm metro,Appalachia
1057,AL,Fayette,4,10,Nonmetro,Appalachia
1059,AL,Franklin,4,10,Nonmetro,Appalachia
1061,AL,Geneva,3,6,Md/Sm metro,East South Central
1063,AL,Greene,4,6,Nonmetro,East South Central
1065,AL,Hale,3,10,Md/Sm metro,Appalachia
1067,AL,Henry,3,6,Md/Sm metro,East South Central
1069,AL,Houston,3,6,Md/Sm metro,East South Central
1071,AL,Jackson,4,10,Nonmetro,Appalachia
1073,AL,Jefferson,1,10,Lg central metro,Appalachia
1075,AL,Lamar,4,10,Nonmetro,Appalachia
1077,AL,Lauderdale,3,10,Md/Sm metro,Appalachia
1079,AL,Lawrence,3,10,Md/Sm metro,Appalachia
1081,AL,Lee,3,6,Md/Sm metro,East South Central
1083,AL,Limestone,3,10,Md/Sm metro,Appalachia
1085,AL,Lowndes,3,6,Md/Sm metro,East South Central
1087,AL,Macon,4,10,Nonmetro,Appalachia
1089,AL,Madison,3,10,Md/Sm metro,Appalachia
1091,AL,Marengo,4,6,Nonmetro,East South Central
1093,AL,Marion,4,10,Nonmetro,Appalachia
1095,AL,Marshall,4,10,Nonmetro,Appalachia
1097,AL,Mobile,3,6,Md/Sm metro,East South Central
1099,AL,Monroe,4,6,Nonmetro,East South Central
1101,AL,Montgomery,3,6,Md/Sm metro,East South Central
1103,AL,Morgan,3,10,Md/Sm metro,Appalachia
1105,AL,Perry,4,6,Nonmetro,East South Central
1107,AL,Pickens,3,10,Md/Sm metro,Appalachia
1109,AL,Pike,4,6,Nonmetro,East South Central
1111,AL,Randolph,4,10,Nonmetro,Appalachia
1113,AL,Russell,3,6,Md/Sm metro,East South Central
1115,AL,St. Clair,2,10,Lg fringe metro,Appalachia
1117,AL,Shelby,2,10,Lg fringe metro,Appalachia
1119,AL,Sumter,4,6,Nonmetro,East South Central
1121,AL,Talladega,4,10,Nonmetro,Appalachia
1123,AL,Tallapoosa,4,10,Nonmetro,Appalachia
1125,AL,Tuscaloosa,3,10,Md/Sm metro,Appalachia
1127,AL,Walker,2,10,Lg fringe metro,Appalachia
1129,AL,Washington,4,6,Nonmetro,East South Central
1131,AL,Wilcox,4,6,Nonmetro,East South Central
1133,AL,Winston,4,10,Nonmetro,Appalachia
2010,AK,Aleutian Islands Census Area/Aleutian East Borough/Aleutian West Census Area,4,9,Nonmetro,Pacific
2020,AK,Anchorage Municipality,3,9,Md/Sm metro,Pacific
2050,AK,Bethel Census Area,4,9,Nonmetro,Pacific
2060,AK,Bristol Bay Borough,4,9,Nonmetro,Pacific
2070,AK,Dillingham Census Area,4,9,Nonmetro,Pacific
2090,AK,Fairbanks North Star Borough,3,9,Md/Sm metro,Pacific
2100,AK,Haines Borough,4,9,Nonmetro,Pacific
2110,AK,Juneau City and Borough,4,9,Nonmetro,Pacific
2122,AK,Kenai Peninsula Borough,4,9,Nonmetro,Pacific
2140,AK,Kobuk Census Area/Northwest Arctic Borough,4,9,Nonmetro,Pacific
2150,AK,Kodiak Island Borough,4,9,Nonmetro,Pacific
2158,AK,Wade Hampton Census Area/Kusilvak Census Area,4,9,Nonmetro,Pacific
2170,AK,Matanuska-Susitna Borough,3,9,Md/Sm metro,Pacific
2180,AK,Nome Census Area,4,9,Nonmetro,Pacific
2185,AK,North Slope Borough,4,9,Nonmetro,Pacific
2195,AK,Petersburg Census Area,4,9,Nonmetro,Pacific
2220,AK,Sitka City and Borough,4,9,Nonmetro,Pacific
2232,AK,Skagway-Hoonah-Angoon Census Area,4,9,Nonmetro,Pacific
2240,AK,Southeast Fairbanks Census Area,4,9,Nonmetro,Pacific
2261,AK,Valdez-Cordova Census Area,4,9,Nonmetro,Pacific
4001,AZ,Apache,4,8,Nonmetro,Mountain
4003,AZ,Cochise,3,8,Md/Sm metro,Mountain
4005,AZ,Coconino,3,8,Md/Sm metro,Mountain
4007,AZ,Gila,4,8,Nonmetro,Mountain
4009,AZ,Graham,4,8,Nonmetro,Mountain
4011,AZ,Greenlee,4,8,Nonmetro,Mountain
4013,AZ,Maricopa,1,8,Lg central metro,Mountain
4015,AZ,Mohave,3,8,Md/Sm metro,Mountain
4017,AZ,Navajo,4,8,Nonmetro,Mountain
4019,AZ,Pima,3,8,Md/Sm metro,Mountain
4021,AZ,Pinal,2,8,Lg fringe metro,Mountain
4023,AZ,Santa Cruz,4,8,Nonmetro,Mountain
4025,AZ,Yavapai,3,8,Md/Sm metro,Mountain
4027,AZ,Yuma,3,8,Md/Sm metro,Mountain
5001,AR,Arkansas,4,7,Nonmetro,West South Central
5003,AR,Ashley,4,7,Nonmetro,West South Central
5005,AR,Baxter,4,7,Nonmetro,West South Central
5007,AR,Benton,3,7,Md/Sm metro,West South Central
5009,AR,Boone,4,7,Nonmetro,West South Central
5011,AR,Bradley,4,7,Nonmetro,West South Central
5013,AR,Calhoun,4,7,Nonmetro,West South Central
5015,AR,Carroll,4,7,Nonmetro,West South Central
5017,AR,Chicot,4,7,Nonmetro,West South Central
5019,AR,Clark,4,7,Nonmetro,West South Central
5021,AR,Clay,4,7,Nonmetro,West South Central
5023,AR,Cleburne,4,7,Nonmetro,West South Central
5025,AR,Cleveland,3,7,Md/Sm metro,West South Central
5027,AR,Columbia,4,7,Nonmetro,West South Central
5029,AR,Conway,4,7,Nonmetro,West South Central
5031,AR,Craighead,3,7,Md/Sm metro,West South Central
5033,AR,Crawford,3,7,Md/Sm metro,West South Central
5035,AR,Crittenden,2,7,Lg fringe metro,West South Central
5037,AR,Cross,4,7,Nonmetro,West South Central
5039,AR,Dallas,4,7,Nonmetro,West South Central
5041,AR,Desha,4,7,Nonmetro,West South Central
5043,AR,Drew,4,7,Nonmetro,West South Central
5045,AR,Faulkner,3,7,Md/Sm metro,West South Central
5047,AR,Franklin,4,7,Nonmetro,West South Central
5049,AR,Fulton,4,7,Nonmetro,West South Central
5051,AR,Garland,3,7,Md/Sm metro,West South Central
5053,AR,Grant,3,7,Md/Sm metro,West South Central
5055,AR,Greene,4,7,Nonmetro,West South Central
5057,AR,Hempstead,4,7,Nonmetro,West South Central
5059,AR,Hot Spring,4,7,Nonmetro,West South Central
5061,AR,Howard,4,7,Nonmetro,West South Central
5063,AR,Independence,4,7,Nonmetro,West South Central
5065,AR,Izard,4,7,Nonmetro,West South Central
5067,AR,Jackson,4,7,Nonmetro,West South Central
5069,AR,Jefferson,3,7,Md/Sm metro,West South Central
5071,AR,Johnson,4,7,Nonmetro,West South Central
5073,AR,Lafayette,4,7,Nonmetro,West South Central
5075,AR,Lawrence,4,7,Nonmetro,West South Central
5077,AR,Lee,4,7,Nonmetro,West South Central
5079,AR,Lincoln,3,7,Md/Sm metro,West South Central
5081,AR,Little River,3,7,Md/Sm metro,West South Central
5083,AR,Logan,4,7,Nonmetro,West South Central
5085,AR,Lonoke,3,7,Md/Sm metro,West South Central
5087,AR,Madison,3,7,Md/Sm metro,West South Central
5089,AR,Marion,4,7,Nonmetro,West South Central
5091,AR,Miller,3,7,Md/Sm metro,West South Central
5093,AR,Mississippi,4,7,Nonmetro,West South Central
5095,AR,Monroe,4,7,Nonmetro,West South Central
5097,AR,Montgomery,4,7,Nonmetro,West South Central
5099,AR,Nevada,4,7,Nonmetro,West South Central
5101,AR,Newton,4,7,Nonmetro,West South Central
5103,AR,Ouachita,4,7,Nonmetro,West South Central
5105,AR,Perry,3,7,Md/Sm metro,West South Central
5107,AR,Phillips,4,7,Nonmetro,West South Central
5109,AR,Pike,4,7,Nonmetro,West South Central
5111,AR,Poinsett,3,7,Md/Sm metro,West South Central
5113,AR,Polk,4,7,Nonmetro,West South Central
5115,AR,Pope,4,7,Nonmetro,West South Central
5117,AR,Prairie,4,7,Nonmetro,West South Central
5119,AR,Pulaski,3,7,Md/Sm metro,West South Central
5121,AR,Randolph,4,7,Nonmetro,West South Central
5123,AR,St. Francis,4,7,Nonmetro,West South Central
5125,AR,Saline,3,7,Md/Sm metro,West South Central
5127,AR,Scott,4,7,Nonmetro,West South Central
5129,AR,Searcy,4,7,Nonmetro,West South Central
5131,AR,Sebastian,3,7,Md/Sm metro,West South Central
5133,AR,Sevier,4,7,Nonmetro,West South Central
5135,AR,Sharp,4,7,Nonmetro,West South Central
5137,AR,Stone,4,7,Nonmetro,West South Central
5139,AR,Union,4,7,Nonmetro,West South Central
5141,AR,Van Buren,4,7,Nonmetro,West South Central
5143,AR,Washington,3,7,Md/Sm metro,West South Central
5145,AR,White,4,7,Nonmetro,West South Central
5147,AR,Woodruff,4,7,Nonmetro,West South Central
5149,AR,Yell,4,7,Nonmetro,West South Central
6001,CA,Alameda,1,9,Lg central metro,Pacific
6003,CA,Alpine,4,9,Nonmetro,Pacific
6005,CA,Amador,4,9,Nonmetro,Pacific
6007,CA,Butte,3,9,Md/Sm metro,Pacific
6009,CA,Calaveras,4,9,Nonmetro,Pacific
6011,CA,Colusa,4,9,Nonmetro,Pacific
6013,CA,Contra Costa,2,9,Lg fringe metro,Pacific
6015,CA,Del Norte,4,9,Nonmetro,Pacific
6017,CA,El Dorado,2,9,Lg fringe metro,Pacific
6019,CA,Fresno,3,9,Md/Sm metro,Pacific
6021,CA,Glenn,4,9,Nonmetro,Pacific
6023,CA,Humboldt,4,9,Nonmetro,Pacific
6025,CA,Imperial,3,9,Md/Sm metro,Pacific
6027,CA,Inyo,4,9,Nonmetro,Pacific
6029,CA,Kern,3,9,Md/Sm metro,Pacific
6031,CA,Kings,3,9,Md/Sm metro,Pacific
6033,CA,Lake,4,9,Nonmetro,Pacific
6035,CA,Lassen,4,9,Nonmetro,Pacific
6037,CA,Los Angeles,1,9,Lg central metro,Pacific
6039,CA,Madera,3,9,Md/Sm metro,Pacific
6041,CA,Marin,2,9,Lg fringe metro,Pacific
6043,CA,Mariposa,4,9,Nonmetro,Pacific
6045,CA,Mendocino,4,9,Nonmetro,Pacific
6047,CA,Merced,3,9,Md/Sm metro,Pacific
6049,CA,Modoc,4,9,Nonmetro,Pacific
6051,CA,Mono,4,9,Nonmetro,Pacific
6053,CA,Monterey,3,9,Md/Sm metro,Pacific
6055,CA,Napa,3,9,Md/Sm metro,Pacific
6057,CA,Nevada,4,9,Nonmetro,Pacific
6059,CA,Orange,1,9,Lg central metro,Pacific
6061,CA,Placer,2,9,Lg fringe metro,Pacific
6063,CA,Plumas,4,9,Nonmetro,Pacific
6065,CA,Riverside,1,9,Lg central metro,Pacific
6067,CA,Sacramento,1,9,Lg central metro,Pacific
6069,CA,San Benito,2,9,Lg fringe metro,Pacific
6071,CA,San Bernardino,2,9,Lg fringe metro,Pacific
6073,CA,San Diego,1,9,Lg central metro,Pacific
6075,CA,San Francisco,1,9,Lg central metro,Pacific
6077,CA,San Joaquin,3,9,Md/Sm metro,Pacific
6079,CA,San Luis Obispo,3,9,Md/Sm metro,Pacific
6081,CA,San Mateo,2,9,Lg fringe metro,Pacific
6083,CA,Santa Barbara,3,9,Md/Sm metro,Pacific
6085,CA,Santa Clara,1,9,Lg central metro,Pacific
