period,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
March 2020 - August 2022,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,236,1733,0,1415,1327,1414,1505,317,227,319,405,1,0.22600425337844046,0.15138047798232243,0.2256011315417256,0.30506829353613546,1.344822033898305,0.9654661016949152,1.3516949152542372,1.7165254237288132,0.927
March 2020 - August 2022,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,753,7236,0,6179,5938,6187,6435,1056,801,1049,1298,1,0.17157134095879495,0.12447552447552447,0.169549054469048,0.2185921185584372,1.4024714475431608,1.0637450199203187,1.3930942895086322,1.7237715803452855,0.981
March 2020 - August 2022,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,117,911,0,744,688,742,805,166,106,169,222,1,0.2257746229976927,0.13167701863354037,0.22776280323450135,0.3223021863502885,1.4199829059829059,0.905982905982906,1.4444444444444444,1.8978632478632473,0.91
March 2020 - August 2022,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,112,783,0,659,604,660,716,123,67,123,179,1,0.18989247943306348,0.0935754189944134,0.18636363636363637,0.29635761589403975,1.1000982142857143,0.5982142857142857,1.0982142857142858,1.5982142857142858,0.618
March 2020 - August 2022,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,268,2131,0,1772,1673,1772,1875,358,256,359,458,1,0.20352688819140963,0.13653333333333334,0.2025959367945824,0.27375971309025704,1.3364440298507463,0.9552238805970149,1.3395522388059702,1.708955223880597,0.929
March 2020 - August 2022,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,43,360,0,307,273,307,342,53,18,53,87,0.992,0.17825634723887165,0.05263157894736842,0.17263843648208468,0.31868131868131866,1.2325581395348837,0.4186046511627907,1.2325581395348837,2.0232558139534884,0.682
March 2020 - August 2022,01013,Butler County,01,Alabama,South,East South Central,Non Metro,126,768,0,642,590,642,698,125,70,126,178,1,0.19860539151887352,0.10028653295128939,0.19626168224299065,0.3016949152542373,0.9968253968253968,0.5555555555555556,1,1.4126984126984128,0.493
March 2020 - August 2022,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,626,4557,0,3781,3615,3777,3952,775,605,780,941,1,0.20585977820373844,0.15308704453441296,0.20651310563939634,0.2602846216281422,1.23820607028754,0.9664536741214057,1.2460063897763578,1.5034345047923319,0.925
March 2020 - August 2022,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,191,1426,0,1124,1053,1125,1199,301,227,301,373,1,0.270233080486912,0.18932443703085905,0.26755555555555555,0.35422602089268757,1.5792094240837697,1.1884816753926701,1.5759162303664922,1.9528795811518325,0.991
March 2020 - August 2022,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,149,1143,0,893,827,892,959,249,183,251,316,1,0.2810431330266083,0.19180445125130344,0.28139013452914796,0.38210399032648124,1.6711879194630872,1.2345637583892617,1.6845637583892616,2.120805369127517,0.998
