pandemicYear,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
Mar 2020 - Feb 2021,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,108,689,0,521,480,521,563,167,126,168,208,1,0.32560831742436763,0.22380106571936056,0.32245681381957775,0.432581644144144,1.5553240740740741,1.1666666666666667,1.5555555555555556,1.9263888888888885,0.992
Mar 2020 - Feb 2021,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,308,2616,0,2240,2151,2242,2331,375,284,374,464,1,0.16806684072886244,0.12224105997690904,0.16681534344335414,0.2156416398355394,1.217698051948052,0.9251623376623377,1.2142857142857142,1.506655844155844,0.888
Mar 2020 - Feb 2021,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,61,365,0,280,249,280,310,84,55,85,116,1,0.30772594071038967,0.1774193548387097,0.30357142857142855,0.46586345381526106,1.388,0.9016393442622951,1.3934426229508197,1.901639344262295,0.889
Mar 2020 - Feb 2021,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,63,293,0,238,212,237,266,54,27,56,80,1,0.23492174601235133,0.10150375939849623,0.23628691983122363,0.3759112853219946,0.8665238095238095,0.42857142857142855,0.8888888888888888,1.27063492063492,0.312
Mar 2020 - Feb 2021,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,138,819,0,640,599,640,687,178,132,179,220,1,0.28051178721605896,0.19213973799126638,0.2796875,0.3672787979966611,1.291144927536232,0.9565217391304348,1.2971014492753623,1.5942028985507246,0.911
Mar 2020 - Feb 2021,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,27,145,0,111,93,111,131,33,14,34,51,0.996,0.3099737354213777,0.10687022900763359,0.3063063063063063,0.5433825211622046,1.2254814814814814,0.5185185185185185,1.2592592592592593,1.8907407407407388,0.686
Mar 2020 - Feb 2021,01013,Butler County,01,Alabama,South,East South Central,Non Metro,61,281,0,237,209,237,265,43,16,44,72,0.999,0.19022901269961473,0.06037735849056604,0.18565400843881857,0.3444976076555024,0.716327868852459,0.26229508196721313,0.7213114754098361,1.180327868852459,0.141
Mar 2020 - Feb 2021,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,278,1752,0,1404,1333,1404,1477,347,274,348,419,1,0.24907710665057894,0.18610801732034538,0.24786324786324787,0.3143285821455364,1.2515503597122302,0.9888489208633093,1.2517985611510791,1.5071942446043165,0.941
Mar 2020 - Feb 2021,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,127,614,0,416,380,416,456,197,158,198,234,1,0.47956666680148174,0.34649122807017546,0.47596153846153844,0.6157894736842106,1.5572992125984253,1.2440944881889764,1.5590551181102361,1.8425196850393701,0.999
Mar 2020 - Feb 2021,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,60,453,0,326,293,326,357,126,96,127,160,1,0.39385299823566544,0.2689075630252101,0.3895705521472393,0.5460750853242321,2.11335,1.6,2.1166666666666667,2.6666666666666665,1
