stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
01,Alabama,South,East South Central,20935,153287,0,126682.386,125048.5,126714.5,128361.6,26604.614,24925.4,26572.5,28238.5,1,0.21014733561694124,0.19418112605437632,0.20970370401482602,0.22582038186829043,1.2708198710293765,1.1906090279436348,1.269285884881777,1.348865536183425,1
02,Alaska,West,Pacific,1427,12194,0,9542.419,9351,9538,9730.099999999999,2651.581,2463.9,2656,2843,1,0.27818259485468494,0.2532245312577397,0.2784650870203397,0.30403165436851676,1.8581506657323055,1.7266292922214435,1.8612473721093203,1.99229152067274,1
04,Arizona,West,Mountain,27666,175623,0,136444.112,134603.6,136452.5,138327.30000000002,39178.888,37295.7,39170.5,41019.4,1,0.2872889123152596,0.2696192292297641,0.28706326379038916,0.3047422209655505,1.4161385093616714,1.3480698330080243,1.4158353213330441,1.4826646425215064,1
05,Arkansas,South,West South Central,11600,89851,0,75684.312,74668.8,75690,76774.20000000001,14166.688,13076.8,14161,15182.2,1,0.18732413187556626,0.17032805298508666,0.18709208634804605,0.2033272264426603,1.2212662068965516,1.1273103448275863,1.2207758620689655,1.3088103448275863,1
06,California,West,Pacific,100102,744709,0,620966.669,613145.6,621018.5,628758.6000000001,123742.331,115950.40000000001,123690.5,131563.4,1,0.19939598510393375,0.18441163270944244,0.19917361569488207,0.2145712212663688,1.2361624243271863,1.1583225110387405,1.235644642464686,1.314293420710875,1
08,Colorado,West,Mountain,13586,104423,0,88049.175,86824,88048.5,89264.20000000001,16373.825,15158.8,16374.5,17599,1,0.18610640160423977,0.16981948160431953,0.18597136809107911,0.20269741085414172,1.2051983659649639,1.115766229942588,1.205248049462682,1.2953775945826587,0.998
09,Connecticut,Northeast,New England,11195,81607,0,72421.159,71417.8,72430,73383.5,9185.841,8223.5,9177,10189.199999999999,1,0.12697642580310636,0.11206197624935986,0.12670164296562197,0.14267031476410721,0.8205306833407772,0.7345690040196515,0.8197409557838321,0.9101563197856185,0.011
10,Delaware,South,South Atlantic,3114,25672,0,22036.471,21652.600000000002,22041,22395,3635.529,3277,3631,4019.4,1,0.16517138941394965,0.14632730520205403,0.16473844199446486,0.1856312904160113,1.1674788053949903,1.0523442517662172,1.166024405908799,1.2907514450867053,0.976
11,District of Columbia,South,South Atlantic,1747,12449,0,10716.276,10508,10718,10919.3,1732.724,1529.7,1731,1941,1,0.16196571126959478,0.14009140554376712,0.1615040119425266,0.18471640654739246,0.9918282770463652,0.875615340583858,0.9908414424728106,1.1110475100171724,0.46
12,Florida,South,South Atlantic,73329,569774,0,489570.845,483284.7,489631,495582.5,80203.155,74191.5,80143,86489.3,1,0.16394331945395996,0.14970565498329264,0.1636804043975143,0.17896138833175576,1.0937440166918955,1.011762058667103,1.0929236727624816,1.1794692413642625,0.922
