period,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
March 2020 - August 2022,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,236,1627,0,1306,1229,1306,1383,320,243,321,398,1,0.24705326886258885,0.17638555393945476,0.24578866768759572,0.32384052074857606,1.359021186440678,1.033686440677966,1.3601694915254237,1.6864406779661016,0.967
March 2020 - August 2022,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,753,6699,0,5703,5518,5704,5877,995,821,995,1180,1,0.1750707344585344,0.13984789042873377,0.1744389901823282,0.213839856867324,1.3226865869853919,1.091500664010624,1.3213811420982735,1.5672642762284195,0.986
March 2020 - August 2022,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,117,850,0,695,640,696,751,154,99,154,210,1,0.22482739957966605,0.1318242343541944,0.22126436781609196,0.328125,1.3197179487179487,0.8461538461538461,1.3162393162393162,1.794871794871795,0.858
March 2020 - August 2022,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,112,728,0,601,552,601,654,126,74,127,176,1,0.21438697979850935,0.11314984709480122,0.2113144758735441,0.3188405797101449,1.1337857142857144,0.6607142857142857,1.1339285714285714,1.5714285714285714,0.683
March 2020 - August 2022,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,268,1992,0,1601,1516,1603,1683,390,308,388,476,1,0.24517458508924428,0.18356557047349278,0.24228262780354168,0.31398416886543534,1.4575111940298509,1.1527985074626868,1.4496268656716418,1.7761194029850746,0.992
March 2020 - August 2022,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,43,322,0,280,247,280,316,41,6,42,74,0.968,0.15451572249923823,0.0189873417721519,0.15,0.29864992817030145,0.9676744186046512,0.13953488372093023,0.9767441860465116,1.722093023255813,0.469
March 2020 - August 2022,01013,Butler County,01,Alabama,South,East South Central,Non Metro,126,692,0,590,543,589,639,101,53,103,149,0.999,0.17534442907243278,0.08294209702660407,0.17487266553480477,0.27440147329650094,0.8076269841269841,0.42063492063492064,0.8174603174603174,1.1825396825396826,0.194
March 2020 - August 2022,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,626,4253,0,3495,3364,3497,3624,757,628,756,888,1,0.21723592437238276,0.1735489343076806,0.21618530168716044,0.2639118019127445,1.2095095846645367,1.0047124600638977,1.207667731629393,1.4186102236421723,0.953
March 2020 - August 2022,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,191,1337,0,1036,971,1036,1108,300,228,301,365,1,0.29144619471361843,0.2066242964520676,0.2905405405405405,0.3755852330760786,1.5710261780104713,1.1986910994764397,1.5759162303664922,1.9112565445026177,0.992
March 2020 - August 2022,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,149,1065,0,817,757,818,877,247,188,247,308,1,0.30515398638051566,0.21436716077537057,0.3019559902200489,0.40686922060766184,1.660496644295302,1.261744966442953,1.657718120805369,2.0671140939597317,0.996
March 2020 - August 2022,01021,Chilton County,01,Alabama,South,East South Central,Large Fringe Metro,229,1455,0,1202,1134,1203,1271,252,183,252,320,1,0.21122089026297175,0.14472290055371645,0.20947630922693267,0.2819948488450691,1.1014148471615721,0.8032751091703056,1.1004366812227073,1.397598253275109,0.697
March 2020 - August 2022,01023,Choctaw County,01,Alabama,South,East South Central,Non Metro,71,460,0,417,378,417,458,42,1,43,82,0.956,0.10647363894228945,0.004257404077594168,0.10311750599520383,0.21693121693121692,0.6028732394366197,0.02746478873239441,0.6056338028169014,1.1549295774647887,0.123
