period,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,imputedDeaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
March 2020 - August 2022,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,236,1627,1627,0,1305.065,1227.95,1306,1383,321.935,244,321,399.04999999999995,1,0.2483697049353691,0.17642805495300073,0.24578866768759572,0.32497255693688953,1.3641313559322035,1.0338983050847457,1.3601694915254237,1.6908898305084743,0.97
March 2020 - August 2022,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,753,6699,6699,0,5693.459,5488.95,5689,5898.049999999999,1005.541,800.95,1010,1210.05,1,0.17718428023234928,0.13579912159879504,0.17753559500791,0.2204520009406568,1.3353798140770252,1.0636786188579017,1.341301460823373,1.6069721115537847,0.983
March 2020 - August 2022,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,117,850,850,0,694.957,644,694,750.05,155.043,99.95,156,206,1,0.2258401673873259,0.1332578783843764,0.22478386167146974,0.3198757763975155,1.3251538461538461,0.8542735042735043,1.3333333333333333,1.7606837606837606,0.874
March 2020 - August 2022,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,112,728,728,0,601.105,548,602,653,126.895,75,126,180,1,0.21448607217034277,0.11485451761102604,0.20930232558139536,0.3284671532846715,1.1329910714285714,0.6696428571428571,1.125,1.6071428571428572,0.684
March 2020 - August 2022,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,268,1992,1992,0,1601.812,1516,1604,1688.05,390.188,303.95,388,476,1,0.2449918423459783,0.18005985201148217,0.24189526184538654,0.31398416886543534,1.4559253731343285,1.1341417910447762,1.4477611940298507,1.7761194029850746,0.989
March 2020 - August 2022,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,43,322,322,0,279.411,247,279,313,42.589,9,43,75,0.979,0.1587079579842478,0.02875399361022364,0.15412186379928317,0.30364372469635625,0.9904418604651163,0.20930232558139536,1,1.744186046511628,0.492
March 2020 - August 2022,01013,Butler County,01,Alabama,South,East South Central,Non Metro,126,692,692,0,588.395,540,588,637,103.605,55,104,152,1,0.17928318639496865,0.08634222919937205,0.17687074829931973,0.2814814814814815,0.8222619047619047,0.4365079365079365,0.8253968253968254,1.2063492063492063,0.24
March 2020 - August 2022,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,626,4253,4253,0,3493.735,3339.95,3493,3636,759.265,617,760,913.05,1,0.21814100736803016,0.1696919691969197,0.21757801316919553,0.2733723612971721,1.2128833865814697,0.9856230031948882,1.2140575079872205,1.4585463258785942,0.935
March 2020 - August 2022,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,191,1337,1337,0,1036.64,968,1036,1105,300.36,232,301,369,1,0.2918374146018027,0.20995475113122172,0.2905405405405405,0.381198347107438,1.572565445026178,1.2146596858638743,1.5759162303664922,1.931937172774869,0.997
March 2020 - August 2022,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,149,1065,1065,0,816.766,753,817,880,248.234,185,248,312,1,0.3067573905424292,0.21022727272727273,0.30354957160342716,0.41434262948207173,1.666,1.2416107382550337,1.6644295302013423,2.0939597315436242,0.991
March 2020 - August 2022,01021,Chilton County,01,Alabama,South,East South Central,Large Fringe Metro,229,1455,1455,0,1204.128,1130.95,1203,1281.05,250.872,173.95,252,324.04999999999995,1,0.2101120456120934,0.13578708253716568,0.20947630922693267,0.28652907208750966,1.0955109170305677,0.7596069868995633,1.1004366812227073,1.415065502183406,0.694
March 2020 - August 2022,01023,Choctaw County,01,Alabama,South,East South Central,Non Metro,71,460,460,0,416.885,373,417,460,43.115,0,43,87,0.948,0.10783647983886532,0,0.10311750599520383,0.23324396782841822,0.6072535211267606,0,0.6056338028169014,1.2253521126760563,0.142
March 2020 - August 2022,01025,Clarke County,01,Alabama,South,East South Central,Non Metro,122,963,963,0,689.351,634.95,689,745,273.649,218,274,328.04999999999995,1,0.40033373069191086,0.29261744966442954,0.397677793904209,0.5166550336570703,2.2430245901639343,1.7868852459016393,2.2459016393442623,2.688934426229508,1
March 2020 - August 2022,01027,Clay County,01,Alabama,South,East South Central,Non Metro,84,552,552,0,443.265,401,444,487,108.735,65,108,151,1,0.24989308587370748,0.13347022587268995,0.24324324324324326,0.3765586034912718,1.2944642857142856,0.7738095238095238,1.2857142857142858,1.7976190476190477,0.82
March 2020 - August 2022,01029,Cleburne County,01,Alabama,South,East South Central,Non Metro,77,545,545,0,459.872,418,460,504.04999999999995,85.128,40.95,85,127,0.998,0.18905252307333997,0.08124214207135,0.18478260869565216,0.3038277511961722,1.1055584415584416,0.5318181818181819,1.103896103896104,1.6493506493506493,0.616
March 2020 - August 2022,01031,Coffee County,01,Alabama,South,East South Central,Non Metro,266,1641,1641,0,1341.645,1260.95,1342,1423,299.355,218,299,380.04999999999995,1,0.22476213869225498,0.15319747013352072,0.22280178837555886,0.3013997771987462,1.1253947368421053,0.8195488721804511,1.1240601503759398,1.4287593984962403,0.755
