year,month,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
2020,3,6750,247204,0,236049.194,227046.44999999998,236181.5,244951.9,11154.806,2252.1000000000004,11022.5,20157.550000000003,0.983,0.0478080137658492,0.00919405108737337,0.04666961675550608,0.0887816128706828,1.652563851851852,0.33364444444444447,1.632962962962963,2.9863037037037032,0.804
2020,4,61824,300373,0,217971.511,210420.05,217825,226402.55,82401.489,73970.45000000001,82548,89952.95000000001,1,0.3787175700169376,0.3267209226825357,0.3789647747095931,0.42749229513222864,1.3328398194875777,1.19646820005176,1.3352096273291925,1.4549843103002071,1
2020,5,35186,255230,0,214846.507,207535.45,214774.5,222655.6,40383.493,32574.399999999998,40455.5,47694.549999999996,1,0.18851246730574878,0.1462994868991066,0.1883626782256818,0.2298139976536804,1.1477148013414427,0.9257772977888933,1.1497612686864094,1.3554979253112032,0.87
2020,6,15767,225173,0,203643.039,196630.15,203704.5,211087.9,21529.961,14085.1,21468.5,28542.85,1,0.1062146528137666,0.0667262314787675,0.10539041180194439,0.1451600890298574,1.3655077693917677,0.8933278366207903,1.3616096911270374,1.8102904801166995,0.908
2020,7,28174,252137,0,207683.544,200324.75,207503,215183.65,44453.456,36953.35,44634,51812.25,1,0.2146214661749995,0.17172935789363825,0.21510050457101826,0.25864128215084575,1.577818414140697,1.3116117697167602,1.584226591893235,1.8390093703414496,1
2020,8,26940,250816,0,206887.98,199956,206833.5,214322.6,43928.02,36493.4,43982.5,50859.99999999999,1,0.2128908745681615,0.17027322690734595,0.212646889066756,0.2543559589069634,1.6305872308834446,1.354617668893838,1.6326095025983667,1.8878990348923534,1
2020,9,16806,232629,0,202939.012,195560.95,202919.5,210068.75,29689.988,22560.25,29709.5,37068.05,1,0.14684945827634602,0.10739460441733564,0.14641027717244928,0.18954729970522713,1.7666302511007974,1.342392597881709,1.767791265024396,2.20564381768416,0.999
2020,10,22030,249161,0,216844.575,209198.85,216884,224482.8,32316.425,24678.199999999997,32277,39962.149999999994,1,0.14953486279801764,0.10993358983458908,0.14882148982866417,0.19102471678801392,1.4669280526554698,1.1202088061734001,1.4651384475714935,1.8139877439854744,0.989
2020,11,47938,278558,0,216757.42,209260.55000000002,216673,225015.55000000002,61800.58,53542.45,61885,69297.45,1,0.2857399413139959,0.2379499995961131,0.28561472818486844,0.3311539143624865,1.289177270641245,1.1169103842463184,1.2909382952980935,1.4455640619133046,0.998
2020,12,89397,342389,0,236053.228,227730.7,235855,244309.19999999998,106335.772,98079.8,106534,114658.3,1,0.4511387616351236,0.40145766559676344,0.4516927810999267,0.5034819664792204,1.1894780809199414,1.0971263017774646,1.191695470765238,1.2825743593185455,1
2021,1,96235,347459,0,252971.847,243917.69999999998,252750.5,262171.7,94487.153,85287.29999999999,94708.5,103541.3,1,0.37418644831278147,0.3253108565018442,0.3747114255541727,0.4244927702562879,0.9818377201641815,0.8862399334961293,0.9841377877071751,1.0759214423026966,0.39
2021,2,42761,259325,0,222299.26,213914.15,222486.5,230425.25,37025.74,28899.75,36838.5,45410.85,1,0.16714861348281407,0.1254192088614068,0.1655763384867976,0.21228539988966694,0.865876382685157,0.6758436425715021,0.86149762634176,1.061968850120437,0.127
2021,3,19593,245088,0,237319.761,228883.5,237356,246341.9,7768.239,-1253.8999999999999,7732,16204.5,0.921,0.03325082679399292,-0.005090075351282762,0.03257554715476765,0.07079802616712456,0.3964803246057265,-0.06399734599091511,0.3946307354667483,0.8270555810748736,0.003
2021,4,15967,230912,0,219252.863,211403.2,219172,227126.3,11659.137,3785.7000000000003,11740,19508.799999999996,0.991,0.05367476942706817,0.01666782925624033,0.05356524520837484,0.0922824319500733,0.7302021043402017,0.237095258971629,0.735266487129705,1.2218200037577502,0.179
2021,5,12690,231246,0,216315.322,208162,216394.5,224307.45,14930.678,6938.55,14851.5,23083.999999999993,0.998,0.0695710232663077,0.030933217060345262,0.0686315967388024,0.11089440735058596,1.1765703703703703,0.5467730496453901,1.1703309692671393,1.8190701339637507,0.69
