pandemicYear,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
Mar 2020 - Feb 2021,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,102,689,0,521,480,521,563,167,126,168,208,1,0.32560831742436763,0.22380106571936056,0.32245681381957775,0.432581644144144,1.646813725490196,1.2352941176470589,1.6470588235294117,2.0397058823529406,0.995
Mar 2020 - Feb 2021,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,290,2616,0,2240,2151,2242,2331,375,284,374,464,1,0.16806684072886244,0.12224105997690904,0.16681534344335414,0.2156416398355394,1.2932793103448277,0.9825862068965517,1.289655172413793,1.6001724137931035,0.935
Mar 2020 - Feb 2021,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,57,365,0,280,249,280,310,84,55,85,116,1,0.30772594071038967,0.1774193548387097,0.30357142857142855,0.46586345381526106,1.4854035087719297,0.9649122807017544,1.4912280701754386,2.0350877192982457,0.926
Mar 2020 - Feb 2021,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,55,293,0,238,212,237,266,54,27,56,80,1,0.23492174601235133,0.10150375939849623,0.23628691983122363,0.3759112853219946,0.9925636363636363,0.4909090909090909,1.018181818181818,1.4554545454545447,0.503
Mar 2020 - Feb 2021,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,131,819,0,640,599,640,687,178,132,179,220,1,0.28051178721605896,0.19213973799126638,0.2796875,0.3672787979966611,1.3601374045801526,1.0076335877862594,1.366412213740458,1.6793893129770991,0.954
Mar 2020 - Feb 2021,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,26,145,0,111,93,111,131,33,14,34,51,0.996,0.3099737354213777,0.10687022900763359,0.3063063063063063,0.5433825211622046,1.2726153846153847,0.5384615384615384,1.3076923076923077,1.9634615384615366,0.716
Mar 2020 - Feb 2021,01013,Butler County,01,Alabama,South,East South Central,Non Metro,59,281,0,237,209,237,265,43,16,44,72,0.999,0.19022901269961473,0.06037735849056604,0.18565400843881857,0.3444976076555024,0.7406101694915255,0.2711864406779661,0.7457627118644068,1.2203389830508475,0.177
Mar 2020 - Feb 2021,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,257,1752,0,1404,1333,1404,1477,347,274,348,419,1,0.24907710665057894,0.18610801732034538,0.24786324786324787,0.3143285821455364,1.353817120622568,1.0696498054474708,1.3540856031128405,1.6303501945525292,0.98
Mar 2020 - Feb 2021,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,118,614,0,416,380,416,456,197,158,198,234,1,0.47956666680148174,0.34649122807017546,0.47596153846153844,0.6157894736842106,1.6760762711864408,1.3389830508474576,1.6779661016949152,1.9830508474576272,1
Mar 2020 - Feb 2021,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,52,453,0,326,293,326,357,126,96,127,160,1,0.39385299823566544,0.2689075630252101,0.3895705521472393,0.5460750853242321,2.438480769230769,1.8461538461538463,2.4423076923076925,3.076923076923077,1
Mar 2020 - Feb 2021,01021,Chilton County,01,Alabama,South,East South Central,Large Fringe Metro,109,602,0,480,441,479,520,121,81,123,161,1,0.25658697585661266,0.1575812047837,0.2567849686847599,0.36507936507936506,1.117,0.7518348623853212,1.128440366972477,1.4770642201834863,0.703
Mar 2020 - Feb 2021,01023,Choctaw County,01,Alabama,South,East South Central,Non Metro,40,187,0,167,145,168,192,19,-5,19,42,0.904,0.12239797559508035,-0.026041666666666668,0.1130952380952381,0.2896551724137931,0.47835,-0.125,0.475,1.05,0.067
Mar 2020 - Feb 2021,01025,Clarke County,01,Alabama,South,East South Central,Non Metro,66,433,0,279,250,278,309,153,124,154,182,1,0.558670552585638,0.40129449838187703,0.5547626414997034,0.7254446215139438,2.33330303030303,1.878787878787879,2.340909090909091,2.758333333333333,1
Mar 2020 - Feb 2021,01027,Clay County,01,Alabama,South,East South Central,Non Metro,49,241,0,176,152,176,201,64,40,65,89,1,0.3740000869634479,0.19900497512437812,0.3693181818181818,0.5855263157894737,1.3125102040816325,0.8163265306122449,1.3265306122448979,1.816326530612245,0.83
Mar 2020 - Feb 2021,01029,Cleburne County,01,Alabama,South,East South Central,Non Metro,40,219,0,184,159,185,209,34,10,34,59,0.988,0.19516565760162213,0.04784688995215311,0.1837837837837838,0.3691804245283015,0.86395,0.25,0.85,1.476249999999999,0.334
Mar 2020 - Feb 2021,01031,Coffee County,01,Alabama,South,East South Central,Non Metro,113,704,0,534,492,534,578,169,126,170,212,1,0.32027822662079397,0.2179930795847751,0.31835205992509363,0.43089430894308944,1.4996902654867257,1.1150442477876106,1.5044247787610618,1.8761061946902655,0.977
Mar 2020 - Feb 2021,01033,Colbert County,01,Alabama,South,East South Central,Medium or Small Metro,121,804,0,727,675,727,781,76,23,77,129,0.99,0.10696781301783362,0.029449423815621,0.10591471801925723,0.19111111111111112,0.6306115702479339,0.19008264462809918,0.6363636363636364,1.0661157024793388,0.077
Mar 2020 - Feb 2021,01035,Conecuh County,01,Alabama,South,East South Central,Non Metro,33,202,0,161,138,161,183,40,19,41,64,0.996,0.26099983986503056,0.10382513661202186,0.2546583850931677,0.463768115942029,1.2322121212121213,0.5757575757575758,1.2424242424242424,1.9393939393939394,0.701
Mar 2020 - Feb 2021,01037,Coosa County,01,Alabama,South,East South Central,Non Metro,26,174,0,129,109,129,150,44,24,45,64,0.999,0.3567398622460243,0.16,0.3488372093023256,0.58254378648874,1.714653846153846,0.9230769230769231,1.7307692307692308,2.463461538461537,0.919
