stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
01,Alabama,South,East South Central,19193,153287,0,126534.153,124183.8,126526,128789.5,26752.847,24497.5,26761,29103.2,1,0.21167953289856023,0.19021348935374216,0.21150593743087467,0.23435584998669998,1.3938856353879019,1.2763768040431407,1.3943104256760277,1.5163445005991767,1
02,Alaska,West,Pacific,1254,12194,0,9526.845,9307.900000000001,9527.5,9749,2667.155,2445,2666.5,2886.1,1,0.28041613747511884,0.2507949533285465,0.27987405233100815,0.3100699419491426,2.1269178628389156,1.9497607655502391,2.126395534290271,2.3015151515151517,1
04,Arizona,West,Mountain,25015,175623,0,136257.173,133730.7,136163.5,138841.7,39365.827,36781.3,39459.5,41892.3,1,0.2891718820186819,0.26491538068725295,0.2897949899645418,0.3132586609354059,1.573688866679992,1.4703697781331202,1.5774335398760742,1.6746871876873877,1
05,Arkansas,South,West South Central,10097,89851,0,75591.547,74259.9,75579,76969,14259.453,12882,14272,15591.099999999999,1,0.18887826096015325,0.16736608244877807,0.18883552309503962,0.20995315104742168,1.412246508864019,1.275824502327424,1.4134891551946123,1.5441319203723878,1
06,California,West,Pacific,90558,744709,0,620191.365,609136.1,620108,631008.5,124517.635,113700.5,124601,135572.9,1,0.2010061616888147,0.1801885395170957,0.20093435337070317,0.2225658601833164,1.3750042514189802,1.2555544512908856,1.3759248216612558,1.4970836370061176,1
08,Colorado,West,Mountain,11440,104423,0,87938.501,86275.4,87946.5,89568.2,16484.499,14854.8,16476.5,18147.600000000002,1,0.18770924502934533,0.16584904022505526,0.18734685295463943,0.21034501196698036,1.4409527097902097,1.2984965034965037,1.4402534965034963,1.5863286713286715,1
09,Connecticut,Northeast,New England,10093,81607,0,72334.217,70927,72316,73675.3,9272.783,7931.7,9291,10680,1,0.12843904897707153,0.10765751903524515,0.12847779191326955,0.1505773562397171,0.9187340731199841,0.7858614881601109,0.9205389874170217,1.0581591201823046,0.21
10,Delaware,South,South Atlantic,2659,25672,0,22014.749,21576.8,22012.5,22478.199999999997,3657.251,3193.8,3659.5,4095.2,1,0.1664284636069299,0.14208433140953322,0.16624645148189776,0.18979644895687658,1.3754234674689734,1.2011282437006394,1.3762692741632194,1.5401278676194057,0.997
11,District of Columbia,South,South Atlantic,1475,12449,0,10702.494,10448.699999999999,10698.5,10957.099999999999,1746.506,1491.8999999999999,1750.5,2000.3000000000002,1,0.16358438625370145,0.13615829091014547,0.16362109124839788,0.19144009229699088,1.1840718644067796,1.0114576271186442,1.1867796610169492,1.3561355932203392,0.911
12,Florida,South,South Atlantic,64224,569774,0,488929.885,480357,489011,497834,80844.115,71940,80763,89417,1,0.16557808213433758,0.14450600148803586,0.1651558043515317,0.1861469702742409,1.2587835544344794,1.1201420029895368,1.2575205530642752,1.3922676880916791,0.992
13,Georgia,South,South Atlantic,30240,245533,0,199316.772,195684,199232.5,203070.5,46216.228,42462.5,46300.5,49849,1,0.23212604420751626,0.20910225765631377,0.23239431380553177,0.25474233969052146,1.528314417989418,1.4041832010582012,1.5311011904761904,1.6484457671957673,1
15,Hawaii,West,Pacific,1418,29261,0,26347.896,25807.8,26368,26876,2913.104,2385,2893,3453.2000000000003,1,0.1108459354514942,0.08874088406012799,0.10971632281553398,0.13380450932728583,2.0543751763046543,1.6819464033850493,2.040197461212976,2.4352609308885755,1
16,Idaho,West,Mountain,4459,39697,0,34905.914,34236.700000000004,34909.5,35595.3,4791.086,4101.7,4787.5,5460.3,1,0.13752338019301866,0.11523150599591206,0.1371403258020651,0.15948675040041868,1.0744754429244225,0.919869925992375,1.073671226732451,1.2245570755774837,0.73
17,Illinois,North Central,East North Central,33316,293424,0,249396.566,244834.80000000002,249366.5,253833.6,44027.434,39590.399999999994,44057.5,48589.2,1,0.17677130696435198,0.1559698963299006,0.17667770186749104,0.1984570820886663,1.3215102053067596,1.1883299315644134,1.3224126545803818,1.4584343858806579,0.998
18,Indiana,North Central,East North Central,20942,177003,0,152280.57,149488.8,152255,155055.9,24722.43,21947.1,24748,27514.199999999997,1,0.16258636659215758,0.141543147043534,0.16254310203277397,0.18405526034626998,1.1805190526215261,1.0479944608919873,1.1817400439308567,1.3138286696590584,0.959
19,Iowa,North Central,West North Central,8785,81068,0,71223.455,69896.4,71223,72586.4,9844.545,8481.6,9845,11171.6,1,0.13846218781536862,0.11684833553056134,0.13822781966499587,0.15983083611984109,1.120608423449061,0.965463858850313,1.1206602162777461,1.2716676152532727,0.852
