period,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
March 2020 - August 2022,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,219,1627,0,1306,1229,1306,1383,320,243,321,398,1,0.24705326886258885,0.17638555393945476,0.24578866768759572,0.32384052074857606,1.4645159817351598,1.1139269406392693,1.4657534246575343,1.817351598173516,0.99
March 2020 - August 2022,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,694,6699,0,5703,5518,5704,5877,995,821,995,1180,1,0.1750707344585344,0.13984789042873377,0.1744389901823282,0.213839856867324,1.4351340057636888,1.184293948126801,1.4337175792507204,1.7005043227665704,0.999
March 2020 - August 2022,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,108,850,0,695,640,696,751,154,99,154,210,1,0.22482739957966605,0.1318242343541944,0.22126436781609196,0.328125,1.4296944444444444,0.9166666666666666,1.4259259259259258,1.9444444444444444,0.914
March 2020 - August 2022,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,94,728,0,601,552,601,654,126,74,127,176,1,0.21438697979850935,0.11314984709480122,0.2113144758735441,0.3188405797101449,1.3508936170212766,0.7872340425531915,1.351063829787234,1.872340425531915,0.855
March 2020 - August 2022,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,239,1992,0,1601,1516,1603,1683,390,308,388,476,1,0.24517458508924428,0.18356557047349278,0.24228262780354168,0.31398416886543534,1.6343640167364017,1.2926778242677823,1.6255230125523012,1.99163179916318,0.997
March 2020 - August 2022,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,40,322,0,280,247,280,316,41,6,42,74,0.968,0.15451572249923823,0.0189873417721519,0.15,0.29864992817030145,1.04025,0.15,1.05,1.851249999999999,0.54
March 2020 - August 2022,01013,Butler County,01,Alabama,South,East South Central,Non Metro,117,692,0,590,543,589,639,101,53,103,149,0.999,0.17534442907243278,0.08294209702660407,0.17487266553480477,0.27440147329650094,0.8697521367521368,0.452991452991453,0.8803418803418803,1.2735042735042734,0.291
March 2020 - August 2022,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,572,4253,0,3495,3364,3497,3624,757,628,756,888,1,0.21723592437238276,0.1735489343076806,0.21618530168716044,0.2639118019127445,1.323694055944056,1.0995629370629372,1.3216783216783217,1.552534965034965,0.986
March 2020 - August 2022,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,174,1337,0,1036,971,1036,1108,300,228,301,365,1,0.29144619471361843,0.2066242964520676,0.2905405405405405,0.3755852330760786,1.7245172413793104,1.3158045977011494,1.7298850574712643,2.0979885057471264,0.999
March 2020 - August 2022,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,133,1065,0,817,757,818,877,247,188,247,308,1,0.30515398638051566,0.21436716077537057,0.3019559902200489,0.40686922060766184,1.8602556390977443,1.413533834586466,1.8571428571428572,2.3157894736842106,0.999
