period,FIPSCode,countyName,stateFIPS,state,census_region,census_division,metroCat,COVIDDeaths,deaths,imputedDeaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
March 2020 - August 2022,01001,Autauga County,01,Alabama,South,East South Central,Medium or Small Metro,219,1627,1627,0,1305.065,1227.95,1306,1383,321.935,244,321,399.04999999999995,1,0.2483697049353691,0.17642805495300073,0.24578866768759572,0.32497255693688953,1.4700228310502284,1.1141552511415524,1.4657534246575343,1.822146118721461,0.986
March 2020 - August 2022,01003,Baldwin County,01,Alabama,South,East South Central,Medium or Small Metro,694,6699,6699,0,5693.459,5488.95,5689,5898.049999999999,1005.541,800.95,1010,1210.05,1,0.17718428023234928,0.13579912159879504,0.17753559500791,0.2204520009406568,1.448906340057637,1.1541066282420749,1.4553314121037464,1.7435878962536022,0.994
March 2020 - August 2022,01005,Barbour County,01,Alabama,South,East South Central,Non Metro,108,850,850,0,694.957,644,694,750.05,155.043,99.95,156,206,1,0.2258401673873259,0.1332578783843764,0.22478386167146974,0.3198757763975155,1.4355833333333334,0.925462962962963,1.4444444444444444,1.9074074074074074,0.921
March 2020 - August 2022,01007,Bibb County,01,Alabama,South,East South Central,Large Fringe Metro,94,728,728,0,601.105,548,602,653,126.895,75,126,180,1,0.21448607217034277,0.11485451761102604,0.20930232558139536,0.3284671532846715,1.3499468085106383,0.7978723404255319,1.3404255319148937,1.9148936170212767,0.85
March 2020 - August 2022,01009,Blount County,01,Alabama,South,East South Central,Large Fringe Metro,239,1992,1992,0,1601.812,1516,1604,1688.05,390.188,303.95,388,476,1,0.2449918423459783,0.18005985201148217,0.24189526184538654,0.31398416886543534,1.6325857740585774,1.2717573221757323,1.6234309623430963,1.99163179916318,0.997
March 2020 - August 2022,01011,Bullock County,01,Alabama,South,East South Central,Non Metro,40,322,322,0,279.411,247,279,313,42.589,9,43,75,0.979,0.1587079579842478,0.02875399361022364,0.15412186379928317,0.30364372469635625,1.064725,0.225,1.075,1.875,0.551
March 2020 - August 2022,01013,Butler County,01,Alabama,South,East South Central,Non Metro,117,692,692,0,588.395,540,588,637,103.605,55,104,152,1,0.17928318639496865,0.08634222919937205,0.17687074829931973,0.2814814814814815,0.8855128205128205,0.4700854700854701,0.8888888888888888,1.2991452991452992,0.334
March 2020 - August 2022,01015,Calhoun County,01,Alabama,South,East South Central,Medium or Small Metro,572,4253,4253,0,3493.735,3339.95,3493,3636,759.265,617,760,913.05,1,0.21814100736803016,0.1696919691969197,0.21757801316919553,0.2733723612971721,1.3273863636363636,1.0786713286713288,1.3286713286713288,1.5962412587412589,0.983
March 2020 - August 2022,01017,Chambers County,01,Alabama,South,East South Central,Non Metro,174,1337,1337,0,1036.64,968,1036,1105,300.36,232,301,369,1,0.2918374146018027,0.20995475113122172,0.2905405405405405,0.381198347107438,1.726206896551724,1.3333333333333333,1.7298850574712643,2.1206896551724137,0.999
March 2020 - August 2022,01019,Cherokee County,01,Alabama,South,East South Central,Non Metro,133,1065,1065,0,816.766,753,817,880,248.234,185,248,312,1,0.3067573905424292,0.21022727272727273,0.30354957160342716,0.41434262948207173,1.866421052631579,1.3909774436090225,1.8646616541353382,2.345864661654135,0.999
March 2020 - August 2022,01021,Chilton County,01,Alabama,South,East South Central,Large Fringe Metro,222,1455,1455,0,1204.128,1130.95,1203,1281.05,250.872,173.95,252,324.04999999999995,1,0.2101120456120934,0.13578708253716568,0.20947630922693267,0.28652907208750966,1.130054054054054,0.7835585585585585,1.135135135135135,1.4596846846846845,0.746
