FIPSCode,countyName,state,stateFIPS,census_region,census_division,metroCat,year,COVIDDeaths,deaths,imputedDeaths,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsLow,excDeathsMed,excDeathsUp,relExcLow,relExcMed,relExcUp,ratioLow,ratioMed,ratioUp,probPositiveExcess,probPositiveNCExcess,pop
01001,Autauga County,Alabama,01,South,East South Central,Medium or Small Metro,2020,55,533,533,384,430,479,54,103,149,0.1127348643006263,0.23953488372093024,0.3880208333333333,0.9818181818181818,1.8727272727272728,2.709090909090909,1,0.945,58446.458333333336
01003,Baldwin County,Alabama,01,South,East South Central,Medium or Small Metro,2020,165,2096,2096,1694.8999999999999,1840,1996.05,99.95,256,401.0999999999999,0.0500739084578772,0.1391304347826087,0.23665121173947204,0.6057575757575757,1.5515151515151515,2.4309090909090902,0.997,0.852,232384.6875
01005,Barbour County,Alabama,01,South,East South Central,Non Metro,2020,38,303,303,203,233,265,38,70,100,0.14339622641509434,0.30042918454935624,0.49261083743842365,1,1.8421052631578947,2.6315789473684212,1,0.942,25081.229166666668
01007,Bibb County,Alabama,01,South,East South Central,Large Fringe Metro,2020,40,238,238,166,194,222.04999999999995,15.950000000000003,44,72,0.07183169716802006,0.2268041237113402,0.43373493975903615,0.3987500000000001,1.1,1.8,0.996,0.577,22262.583333333332
01009,Blount County,Alabama,01,South,East South Central,Large Fringe Metro,2020,92,679,679,475,528,587,92,151,204,0.1567291311754685,0.2859848484848485,0.42947368421052634,1,1.641304347826087,2.217391304347826,1,0.948,58895.854166666664
01011,Bullock County,Alabama,01,South,East South Central,Non Metro,2020,20,119,119,75,92,110,9,27,44,0.08181818181818182,0.29347826086956524,0.5866666666666667,0.45,1.35,2.2,0.992,0.706,10286.083333333334
01013,Butler County,Alabama,01,South,East South Central,Non Metro,2020,52,230,230,163.95,193,221,9,37,66.04999999999995,0.04072398190045249,0.19170984455958548,0.4028692204099951,0.17307692307692307,0.7115384615384616,1.2701923076923067,0.981,0.193,19094.729166666668
01015,Calhoun County,Alabama,01,South,East South Central,Medium or Small Metro,2020,175,1443,1443,1052.95,1155,1270,173,288,390.04999999999995,0.13622047244094487,0.24935064935064935,0.37043550204196585,0.9885714285714285,1.6457142857142857,2.2288571428571426,1,0.947,115915.125
01017,Chambers County,Alabama,01,South,East South Central,Non Metro,2020,73,490,490,303,346,391,99,144,187,0.2531969309462916,0.4161849710982659,0.6171617161716172,1.356164383561644,1.9726027397260273,2.5616438356164384,1,0.997,34454.604166666664
01019,Cherokee County,Alabama,01,South,East South Central,Non Metro,2020,34,381,381,229,264,298,83,117,152,0.2785234899328859,0.4431818181818182,0.6637554585152838,2.4411764705882355,3.4411764705882355,4.470588235294118,1,1,25150.958333333332
