FIPSCode,csCode,expDeathsLow2020,expDeathsMed2020,expDeathsUp2020,deaths2020,excDeathsLow2020,excDeathsMed2020,excDeathsUp2020,COVIDDeaths2020,nonCovidExcCDRLow2020,nonCovidExcCDRMed2020,nonCovidExcCDRUp2020,COVIDExcRatio2020,expDeathsLow2021,expDeathsMed2021,expDeathsUp2021,deaths2021,excDeathsLow2021,excDeathsMed2021,excDeathsUp2021,COVIDDeaths2021,nonCovidExcCDRLow2021,nonCovidExcCDRMed2021,nonCovidExcCDRUp2021,COVIDExcRatio2021,pop2020,pop2021,csName,countyName,stateFIPS,countyFIPS,state,stateStr
01001,01CS001,373,470,588,565,-23,95,192,55,-160.14657289613356,82.12644763904284,281.3857412232705,0.493283462033462,448,576,742,707,-35,131,259,107,-240.42039707460296,40.6344333083836,257.35141095309615,0.7157270693512304,58446,59063,Autauga,Autauga,1,1,Alabama,AL
01003,01CS002,1614,1997,2496,2277,-219,280,663,165,-198.34353328465323,59.3842914025908,257.2372588017443,0.44,1976,2484,3166,3096,-70,612,1120,435,-211.97874619615743,74.45577807424151,287.4202768251846,0.6551204819277109,232385,238397,Baldwin,Baldwin,1,3,Alabama,AL
01005,01CS003,200,256,326,324,-2,68,124,38,-191.3781803955315,143.53363529664864,411.46308785039275,0.5205479452054794,241,313,408,373,-35,60,132,52,-348.26268728371105,32.005761036986655,320.05761036986655,0.6933333333333334,25081,24996,Barbour+Bullock+Henry,Barbour,1,5,Alabama,AL
01007,01CS004,169,217,276,252,-24,35,83,40,-344.9734419859929,-26.9510501551557,232.04854183589032,0.851063829787234,204,268,344,339,-5,71,135,46,-227.2731492742671,111.40840650699367,396.61392716489746,0.601332877648667,22263,22440,Bibb+Chilton+Coosa+Perry,Bibb,1,7,Alabama,AL
01009,01CS005,478,596,745,731,-14,135,253,92,-216.07632965110378,87.61227887786386,328.1385468204644,0.6195356430255758,572,734,929,841,-88,106,269,98,-315.0041915880332,14.395352841388615,289.6006277502886,0.6125,58896,59047,Blount,Blount,1,9,Alabama,AL
01011,01CS003,83,100,118,132,14,32,49,20,-74.54342192135356,136.467623677181,337.8872581121459,0.6309617091685047,100,123,149,141,-8,18,41,13,-203.52000775314315,48.457144703129316,271.3600103375242,0.5652173913043478,10286,10318,Barbour+Bullock+Henry,Bullock,1,11,Alabama,AL
01013,01CS006,166,213,273,256,-17,43,90,52,-433.6275171922443,-56.560110938118825,238.80935729427947,1,199,257,339,308,-31,51,109,47,-412.79960862048625,21.155649384778286,327.91256546406345,0.746031746031746,19095,18907,Butler+Crenshaw+Pike,Butler,1,13,Alabama,AL
01015,01CS007,1008,1252,1555,1535,-20,283,527,175,-201.975367752914,111.80594421996264,364.50808296156333,0.5654295855517277,1186,1522,1917,1865,-52,343,679,302,-305.1332857101298,35.34029580258566,325.04452554036703,0.7814039738646101,115915,116015,Calhoun,Calhoun,1,15,Alabama,AL
01017,01CS008,295,372,471,516,45,144,221,73,-97.69376492377349,247.28190052006838,515.4608630559172,0.5,352,449,581,576,-5,127,224,77,-237.2617963297963,144.6718270303636,425.33517146926897,0.5703703703703704,34455,34561,Chambers+Cleburne+Randolph,Chambers,1,17,Alabama,AL
01019,01CS009,231,290,367,398,31,108,167,34,-14.313569893791321,353.06805738018596,634.5682652914153,0.3090909090909091,272,352,453,469,16,118,197,64,-192.07330797921207,214.08170785183012,532.2031241924001,0.5203252032520326,25151,24990,Cherokee+Etowah,Cherokee,1,19,Alabama,AL
01021,01CS004,339,425,538,529,-9,104,190,76,-227.20419018042338,74.75578525325331,304.36283995967415,0.672566371681416,403,522,672,653,-19,131,250,107,-278.64025178202843,53.05328078356749,316.10913133542294,0.7456536519036518,44946,45238,Bibb+Chilton+Coosa+Perry,Chilton,1,21,Alabama,AL
01023,01CS010,116,152,196,160,-36,8,44,31,-637.8969500221491,-218.97955000760342,123.77105000429759,0.96875,137,184,238,210,-28,26,73,23,-406.51891608240646,23.912877416612147,398.5479569435358,0.5348837209302325,12604,12546,Choctaw+Clarke+Washington,Choctaw,1,23,Alabama,AL
01025,01CS010,198,252,320,371,51,119,173,43,41.61936167387871,395.3839359018476,676.314627200529,0.3598389355742297,234,307,400,389,-11,82,155,53,-280.7723066377242,127.22495144521879,447.70021706843346,0.5824175824175825,23066,22794,Choctaw+Clarke+Washington,Clarke,1,25,Alabama,AL
01027,01CS011,125,161,209,218,9,57,93,40,-264.63016837272306,145.1197697527836,452.8590461991273,0.6896551724137931,147,198,258,235,-23,37,88,24,-331.20895673583004,91.61098803331468,451.3602910410617,0.5106382978723404,14057,14190,Clay+Talladega,Clay,1,27,Alabama,AL
01029,01CS008,140,164,189,189,-0,25,49,25,-200.35640133216157,3.130220703742115,193.488673576039,0.9246806718815931,170,201,233,262,29,61,92,41,-79.83789484145603,132.5110287824997,338.23440096733015,0.6612903225806451,15030,15093,Chambers+Cleburne+Randolph,Cleburne,1,29,Alabama,AL
01031,01CS012,380,479,598,616,18,137,236,70,-116.76207693862519,150.29892708718327,372.38241636526,0.4794520547945205,456,588,753,716,-37,128,260,128,-305.0742867444067,-0.9244675355891112,244.05942939552534,0.847682119205298,53493,54085,Coffee+Geneva,Coffee,1,31,Alabama,AL
01033,01CS013,516,647,809,675,-134,28,159,83,-457.08384514763475,-115.8507441618429,160.0846646600011,0.6916666666666667,614,786,1006,884,-122,98,270,117,-416.0914820937758,-32.2079180700203,266.4552357090057,0.7267080745341615,56970,57439,Colbert,Colbert,1,33,Alabama,AL
