FIPSCode,deathsTotal,deathsTotalMonthly,deathsDiffAbs,deathsDiffPct
01001,2652,2652,0,0
01003,10895,10895,0,0
01005,1517,1517,0,0
01007,1288,1288,0,0
01009,3429,3429,0,0
01011,608,408,46,0.696969696969697
01013,1309,1301,8,0.03389830508474567
01015,7415,7415,0,0
01017,2193,2193,0,0
01019,1783,1783,0,0
01021,2528,2528,0,0
01023,914,898,9,0.0494505494505495
01025,1541,1541,0,0
01027,906,903,3,0.01863354037267073
01029,974,941,17,0.10897435897435903
01031,2696,2696,0,0
01033,3688,3688,0,0
01035,900,883,9,0.0625
01037,731,645,31,0.30097087378640786
01039,2730,2730,0,0
01041,924,872,26,0.17105263157894735
01043,5255,5255,0,0
01045,2685,2685,0,0
01047,2663,2663,0,0
01049,4123,4123,0,0
01051,3990,3990,0,0
01053,2437,2437,0,0
01055,7086,7086,0,0
01057,1165,1156,9,0.04326923076923084
01059,1874,1874,0,0
01061,1842,1842,0,0
01063,546,281,68,1.8888888888888888
01065,958,923,18,0.11764705882352944
01067,1122,1122,0,0
01069,5678,5678,0,0
01071,3605,3605,0,0
01073,36321,36321,0,0
01075,973,942,13,0.09219858156028371
01077,5649,5649,0,0
01079,2071,2071,0,0
01081,5468,5468,0,0
01083,4097,4097,0,0
01085,697,577,38,0.37254901960784315
01087,1239,1239,0,0
01089,16203,16203,0,0
01091,1377,1377,0,0
01093,2114,2114,0,0
01095,5755,5755,0,0
01097,22064,22064,0,0
01099,1344,1344,0,0
01101,10701,10701,0,0
01103,6861,6861,0,0
01105,634,463,48,0.6153846153846154
01107,1248,1237,6,0.026431718061673992
01109,1596,1596,0,0
01111,1547,1547,0,0
01113,3203,3203,0,0
01115,4764,4764,0,0
01117,7497,7497,0,0
01119,800,724,31,0.26956521739130435
01121,5094,5094,0,0
01123,2741,2741,0,0
01125,8847,8847,0,0
01127,5174,5174,0,0
01129,1019,1002,9,0.051724137931034475
01131,736,628,30,0.26086956521739135
01133,1589,1589,0,0
02010,NA,0,NA,NA
02020,8662,8662,0,0
02050,608,450,49,0.765625
02060,NA,0,NA,NA
02070,NA,0,NA,NA
02090,2408,2408,0,0
02100,67,0,17,Inf
02110,959,927,9,0.05232558139534893
02122,2293,2293,0,0
02140,279,0,64,Inf
02150,310,31,65,Inf
02158,307,32,60,Inf
02170,3056,3056,0,0
02180,371,96,74,Inf
02185,274,0,65,Inf
02195,1190,1092,68,5.230769230769231
02220,308,0,70,Inf
02232,NA,0,NA,NA
02240,NA,60,NA,NA
02261,301,0,68,Inf
